"site_name","Year","month","water_class","WUE_T","SPEI_3","baseline_WUE_T","monthly_resistance","WUE_T_pct_change","EDI","EDI_class","response_EDI_pct_change","response_EDI_magnitude","response_EDI_direction","response_EDI_class"
"US-SO2",2005,8,"Upland",2.65222250206305,1.03720612106882,NA,NA,NA,0.70688959978069,"Impact",NA,NA,NA,NA
"US-SO2",2006,5,"Upland",3.87404452961983,0.838676584976381,4.7601276659533,0.81385307317046,-18.614692682954,0.685469638566361,"Stress",-3.9611218070077,3.9611218070077,"WUE_T decrease","Moderate (2.5-5%)"
"US-SO2",2006,6,"Upland",6.58422059578491,0.483472466106622,7.52292562213055,0.875220748749102,-12.4779251250898,0.645147631321995,"Stress",-4.46269052508105,4.46269052508105,"WUE_T decrease","Moderate (2.5-5%)"
"US-SO2",2006,7,"Upland",5.04646491428051,-0.291542763997442,8.24253528253725,0.612246686401455,-38.7753313598545,0.550407794537878,"Stress",-2.29934989485158,2.29934989485158,"WUE_T decrease","Mild (1-2.5%)"
"US-SO3",1997,3,"Upland",3.34660164441899,-0.302262100964745,2.5261884510128,1.32476325868613,32.4763258686133,0.549053911933542,"Stress",4.70840518765132,4.70840518765132,"WUE_T increase","Moderate (2.5-5%)"
"US-SO3",1997,4,"Upland",5.8157084062773,-1.57910614563,1.79288834133117,3.24376497532428,224.376497532428,0.388250317179,"Watch",44.0422713127422,44.0422713127422,"WUE_T increase","Strong (>=5%)"
"US-SO3",1998,3,"Upland",9.57421231127522,1.35510267701932,2.5261884510128,3.78998340659689,278.998340659689,0.739338819344358,"Impact",6.83460845090777,6.83460845090777,"WUE_T increase","Strong (>=5%)"
"US-SO3",1998,4,"Upland",7.76599222835563,1.71631044714967,1.79288834133117,4.33155375565083,333.155375565083,0.773265823841461,"Impact",14.3608288842685,14.3608288842685,"WUE_T increase","Strong (>=5%)"
"US-SO3",1998,5,"Upland",3.82995096200025,1.43179045215401,2.83512049659881,1.35089530289626,35.0895302896262,0.746809044983589,"Impact",3.18341349890397,3.18341349890397,"WUE_T increase","Moderate (2.5-5%)"
"US-SO3",1998,6,"Upland",4.26494500860253,1.83561542532606,NA,NA,NA,0.783761206444843,"Impact",NA,NA,NA,NA
"US-SO3",1998,7,"Upland",5.85190613513929,1.69792040582926,4.43623512983466,1.31911541292839,31.9115412928392,0.77161640313611,"Impact",5.26227656176724,5.26227656176724,"WUE_T increase","Strong (>=5%)"
"US-SO3",2002,3,"Upland",3.66045820636794,-2.01730335534818,2.5261884510128,1.44900441014224,44.9004410142237,0.336648160874296,"Watch",58.7933651461091,58.7933651461091,"WUE_T increase","Strong (>=5%)"
"US-SO3",2002,4,"Upland",5.8208468381819,-1.42897708654114,1.79288834133117,3.24663098308736,224.663098308736,0.406592924314585,"Watch",38.4949274363213,38.4949274363213,"WUE_T increase","Strong (>=5%)"
"US-SO3",2003,3,"Upland",2.04567843072137,0.145829428161267,2.5261884510128,0.809788529395426,-19.0211470604574,0.604796635662489,"Stress",-0.393988439018631,0.393988439018631,"Stable","Stable (<0.5%)"
