year,coast_region,water_class,mean_WUE_T_pct_change,mean_abs_WUE_T_pct_change,pct_pixels_increase,pct_pixels_decrease,pct_Stable,pct_Mild,pct_Moderate,pct_Large,pct_Strong
2009,Atlantic Coast,Freshwater,-2.6839,2.6839,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2009,Atlantic Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2010,AK Coast,Upland,-0.087,3.3136,36.4,63.6,6.3,5.89,23.46,51.44,12.91
2010,AK Coast,Freshwater,-2.6839,2.6839,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2010,AK Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2010,Pacific Coast,Upland,-0.6724,0.919,14.37,85.63,16.93,34.25,48.26,0.56,0.0
2010,Pacific Coast,Freshwater,-2.6847,2.6847,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2010,Pacific Coast,Saline,-2.8165,2.8165,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2010,Gulf Coast,Upland,-9.7211,18.4153,25.59,74.41,0.58,0.58,3.07,5.26,90.5
2010,Gulf Coast,Freshwater,-2.6847,2.6847,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2010,Gulf Coast,Saline,-2.8165,2.8165,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2010,Atlantic Coast,Upland,0.0759,1.8822,54.79,45.21,13.52,13.6,36.85,36.03,0.0
2010,Atlantic Coast,Freshwater,-2.6839,2.6839,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2010,Atlantic Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2011,AK Coast,Upland,1.2696,4.2975,48.58,51.42,4.49,4.03,15.24,51.28,24.96
2011,AK Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2011,AK Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2011,Pacific Coast,Upland,-0.4053,0.9113,28.09,71.91,23.53,25.68,50.62,0.18,0.0
2011,Pacific Coast,Freshwater,-2.6845,2.6845,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2011,Pacific Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2011,Gulf Coast,Upland,-16.1952,17.5586,9.21,90.79,0.73,1.02,3.36,4.53,90.35
2011,Gulf Coast,Freshwater,-2.6848,2.6848,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2011,Gulf Coast,Saline,-2.8165,2.8165,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2011,Atlantic Coast,Upland,0.8792,1.8775,68.7,31.3,11.7,11.61,40.95,35.75,0.0
2011,Atlantic Coast,Freshwater,-2.6835,2.6835,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2011,Atlantic Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2012,AK Coast,Upland,1.6661,4.3465,49.89,50.11,5.35,5.66,19.73,43.52,25.74
2012,AK Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2012,AK Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2012,Pacific Coast,Upland,-0.0826,1.1478,39.49,60.51,15.99,21.47,56.18,6.36,0.0
2012,Pacific Coast,Freshwater,-2.6843,2.6843,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2012,Pacific Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2012,Gulf Coast,Upland,12.1508,23.4668,62.57,37.43,1.17,1.46,3.8,5.12,88.45
