year,month,coast_region,n_pixels,mean_SPEI3,mean_EDI,pct_None,pct_Watch,pct_Stress,pct_Impact
2005,7,Atlantic Coast,835,0.4246,0.5467,0.0,0.24,99.76,0.0
2005,8,AK Coast,1904,-0.4424,0.5255,0.0,6.62,93.38,0.0
2005,8,Pacific Coast,283,0.7304,0.5541,0.0,0.0,100.0,0.0
2005,8,Gulf Coast,57,0.2101,0.5415,0.0,0.0,100.0,0.0
2005,8,Atlantic Coast,835,0.0647,0.5379,0.0,0.84,99.16,0.0
2005,9,AK Coast,1904,0.131,0.5395,0.0,0.26,99.74,0.0
2005,9,Pacific Coast,283,-0.3761,0.5271,0.0,1.06,98.94,0.0
2005,9,Gulf Coast,57,0.6231,0.5516,0.0,0.0,100.0,0.0
2005,9,Atlantic Coast,835,-0.6735,0.5198,0.0,20.12,79.88,0.0
2005,10,AK Coast,1904,0.0223,0.5369,0.0,0.63,99.37,0.0
2005,10,Pacific Coast,283,-0.1922,0.5316,0.0,0.0,100.0,0.0
2005,10,Gulf Coast,57,1.0588,0.5622,0.0,0.0,100.0,0.0
2005,10,Atlantic Coast,835,-0.1505,0.5326,0.0,6.83,93.17,0.0
2005,11,AK Coast,1904,0.1465,0.5399,0.0,1.05,98.95,0.0
2005,11,Pacific Coast,283,-0.1617,0.5324,0.0,0.0,100.0,0.0
2005,11,Gulf Coast,57,0.3327,0.5445,0.0,0.0,100.0,0.0
2005,11,Atlantic Coast,835,-0.189,0.5316,0.0,13.29,86.71,0.0
2005,12,AK Coast,1904,0.0214,0.5368,0.0,0.21,99.79,0.0
2005,12,Pacific Coast,283,0.2124,0.5416,0.0,1.77,98.23,0.0
2005,12,Gulf Coast,57,-0.5604,0.5226,0.0,0.0,100.0,0.0
2005,12,Atlantic Coast,835,0.4212,0.5465,0.0,12.69,87.31,0.0
2006,1,AK Coast,1904,-0.2546,0.5301,0.0,12.13,87.87,0.0
2006,1,Pacific Coast,283,0.9691,0.56,0.0,0.0,100.0,0.0
2006,1,Gulf Coast,57,-0.8173,0.5163,0.0,14.04,85.96,0.0
2006,1,Atlantic Coast,835,-0.2998,0.529,0.0,6.83,93.17,0.0
2006,2,AK Coast,1904,0.2129,0.5415,0.0,0.95,99.05,0.0
2006,2,Pacific Coast,283,0.924,0.5589,0.0,0.0,100.0,0.0
2006,2,Gulf Coast,57,-0.7194,0.5187,0.0,0.0,100.0,0.0
2006,2,Atlantic Coast,835,-0.4828,0.5245,0.0,4.43,95.57,0.0
2006,3,AK Coast,1904,-0.3616,0.5275,0.0,9.03,90.97,0.0
2006,3,Pacific Coast,283,0.8254,0.5565,0.0,0.0,100.0,0.0
2006,3,Gulf Coast,57,0.0098,0.5366,0.0,0.0,100.0,0.0
2006,3,Atlantic Coast,835,-1.5299,0.4988,0.0,51.14,48.86,0.0
2006,4,AK Coast,1904,0.4203,0.5466,0.0,0.32,99.68,0.0
2006,4,Pacific Coast,283,0.1392,0.5397,0.0,0.71,99.29,0.0
2006,4,Gulf Coast,57,0.8195,0.5564,0.0,0.0,100.0,0.0
2006,4,Atlantic Coast,835,-1.6074,0.4969,0.0,62.4,37.6,0.0
2006,5,AK Coast,1904,-0.0046,0.5362,0.0,0.42,99.58,0.0
