year,coast_region,mean_SPEI3,upland_mean_WUE_T_pct_change,upland_mean_abs_WUE_T_pct_change,upland_mean_lower_pct_change,upland_mean_upper_pct_change,upland_mean_prediction_interval_width,pct_pixels_decrease,pct_pixels_increase,pct_pixels_strong_decrease,pct_pixels_strong_increase,pct_pixels_robust_strong_response,pct_pixels_possible_strong_response,dry_pct_pixels,dry_mean_WUE_T_pct_change,dry_mean_abs_WUE_T_pct_change,dry_pct_pixels_decrease,dry_pct_pixels_increase,dry_pct_pixels_strong_decrease,dry_pct_pixels_strong_increase
2020,Atlantic Coast,0.3073,-0.6826,1.5662,-29.9599,28.5947,58.5546,65.37,34.63,0.0,0.0,0.0,100.0,7.56,2.5292,2.5292,0.0,100.0,0.0,0.0
2021,AK Coast,0.3235,2.5651,4.4438,-26.3096,31.4397,57.7492,37.68,62.32,0.0,30.78,0.0,100.0,9.51,-3.2104,3.2104,100.0,0.0,0.0,0.0
2021,Pacific Coast,-0.2686,0.6845,1.5673,-30.9466,32.3156,63.2621,48.03,51.97,0.0,0.0,0.0,100.0,34.16,2.754,2.754,0.0,100.0,0.0,0.0
2021,Gulf Coast,-0.73,27.2985,34.5456,-6.2571,60.854,67.1112,23.1,76.9,19.15,73.98,51.9,100.0,42.4,44.5622,46.8092,5.68,94.32,4.96,93.99
2021,Atlantic Coast,0.4229,-0.8768,1.8191,-30.1832,28.4296,58.6129,66.11,33.89,0.0,0.0,0.0,100.0,8.51,2.5662,2.5662,0.0,100.0,0.0,0.0
2022,AK Coast,0.1247,2.2405,4.6007,-26.821,31.3021,58.1231,45.87,54.13,0.0,30.75,0.0,100.0,17.22,-3.1131,3.1131,100.0,0.0,0.0,0.0
2022,Pacific Coast,-0.3971,0.824,1.4978,-30.8011,32.449,63.2501,37.81,62.19,0.0,0.0,0.0,100.0,33.16,2.8018,2.8018,0.0,100.0,0.0,0.0
2022,Gulf Coast,-0.6372,10.8011,26.584,-23.4671,45.0694,68.5365,45.47,54.53,40.06,50.15,27.63,100.0,46.35,35.7457,39.9885,12.01,87.99,9.21,86.8
2022,Atlantic Coast,-0.189,0.3145,1.4275,-28.9548,29.5838,58.5386,43.53,56.47,0.0,0.0,0.0,100.0,18.7,2.5989,2.5989,0.0,100.0,0.0,0.0
2023,AK Coast,0.454,3.3309,5.1911,-25.5812,32.243,57.8242,37.03,62.97,0.0,38.34,0.0,100.0,8.63,-3.3912,3.3912,100.0,0.0,0.0,0.0
2023,Pacific Coast,-0.1879,0.4061,1.1189,-31.1828,31.995,63.1778,43.84,56.16,0.0,0.0,0.0,100.0,16.93,2.5321,2.5321,0.0,100.0,0.0,0.0
2023,Gulf Coast,1.2918,5.138,16.2513,-30.9894,41.2654,72.2548,41.23,58.77,33.48,53.22,4.09,100.0,1.32,52.9993,52.9993,0.0,100.0,0.0,100.0
2023,Atlantic Coast,-0.2276,0.2993,1.5587,-28.9942,29.5927,58.5869,41.82,58.18,0.0,0.0,0.0,100.0,20.33,2.6097,2.6097,0.0,100.0,0.0,0.0
2024,AK Coast,0.444,3.0221,4.8296,-25.8258,31.8699,57.6957,38.76,61.24,0.0,33.92,0.0,100.0,3.96,-3.3863,3.3863,100.0,0.0,0.0,0.0
2024,Pacific Coast,0.1518,-0.1792,0.8589,-31.7423,31.3839,63.1261,64.34,35.66,0.0,0.0,0.0,100.0,5.92,2.5797,2.5797,0.0,100.0,0.0,0.0
2024,Gulf Coast,-0.3362,10.1332,23.6486,-23.7918,44.0581,67.8499,45.32,54.68,38.16,50.44,23.54,100.0,35.23,29.9546,35.6456,15.54,84.46,13.7,82.52
2024,Atlantic Coast,0.3387,-0.7491,1.8648,-30.0644,28.5662,58.6306,65.59,34.41,0.0,0.0,0.0,100.0,13.01,2.6461,2.6461,0.0,100.0,0.0,0.0
2025,AK Coast,0.4655,3.2395,4.9189,-25.6188,32.0978,57.7166,35.28,64.72,0.0,37.76,0.0,100.0,5.59,-3.4231,3.4231,100.0,0.0,0.0,0.0
2025,Pacific Coast,-0.2471,0.5081,1.1551,-31.0772,32.0935,63.1707,43.08,56.92,0.0,0.0,0.0,100.0,21.73,2.3902,2.3902,0.0,100.0,0.0,0.0
2025,Gulf Coast,0.2433,9.1292,22.3272,-25.9194,44.1778,70.0972,40.64,59.36,37.28,54.24,15.35,100.0,17.25,46.8175,46.8175,0.0,100.0,0.0,100.0
2025,Atlantic Coast,-0.2941,0.5025,1.5449,-28.7767,29.7817,58.5584,38.3,61.7,0.0,0.0,0.0,100.0,22.7,2.588,2.588,0.0,100.0,0.0,0.0
