year,month,coast_region,n_pixels,mean_SPEI3,upland_mean_WUE_T_pct_change,upland_mean_abs_WUE_T_pct_change,upland_mean_lower_pct_change,upland_mean_upper_pct_change,upland_mean_prediction_interval_width,pct_pixels_decrease,pct_pixels_increase,pct_pixels_strong_decrease,pct_pixels_strong_increase,pct_pixels_robust_strong_response,pct_pixels_possible_strong_response,dry_n_pixels,dry_pct_pixels,dry_mean_WUE_T_pct_change,dry_mean_abs_WUE_T_pct_change,dry_pct_pixels_decrease,dry_pct_pixels_increase,dry_pct_pixels_strong_decrease,dry_pct_pixels_strong_increase
2001,7,Gulf Coast,57,-0.3279,9.8033,19.5358,-22.6314,42.2379,64.8693,36.84,63.16,28.07,57.89,8.77,100.0,1,1.75,54.2358,54.2358,0.0,100.0,0.0,100.0
2001,7,Atlantic Coast,835,0.1091,-0.2532,1.1109,-29.4827,28.9764,58.4592,62.51,37.49,0.0,0.0,0.0,100.0,43,5.15,2.4271,2.4271,0.0,100.0,0.0,0.0
2001,8,AK Coast,1904,-0.043,0.6563,3.5378,-28.2248,29.5373,57.7621,52.1,47.9,0.0,18.91,0.0,100.0,324,17.02,-3.4986,3.4986,100.0,0.0,0.0,0.0
2001,8,Pacific Coast,283,0.8901,-0.9339,0.9788,-32.5443,30.6765,63.2208,92.23,7.77,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,8,Gulf Coast,57,0.2772,-17.0242,18.0572,-49.1603,15.1119,64.2722,91.23,8.77,89.47,5.26,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,8,Atlantic Coast,835,0.2202,-0.4998,1.2491,-29.743,28.7435,58.4865,63.71,36.29,0.0,0.0,0.0,100.0,53,6.35,2.4998,2.4998,0.0,100.0,0.0,0.0
2001,9,AK Coast,1904,0.0405,0.7808,2.9378,-28.0538,29.6154,57.6692,49.95,50.05,0.0,14.23,0.0,100.0,201,10.56,-3.2373,3.2373,100.0,0.0,0.0,0.0
2001,9,Pacific Coast,283,0.6197,-0.8102,0.8461,-32.3778,30.7575,63.1353,94.7,5.3,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,9,Gulf Coast,57,0.8667,-11.1365,15.0351,-43.9713,21.6982,65.6695,77.19,22.81,70.18,19.3,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,9,Atlantic Coast,835,-0.0432,-0.0228,1.4766,-29.312,29.2663,58.5783,47.9,52.1,0.0,0.0,0.0,100.0,133,15.93,2.6434,2.6434,0.0,100.0,0.0,0.0
2001,10,AK Coast,1904,-0.1556,-0.3288,2.7789,-29.1735,28.5158,57.6893,64.39,35.61,0.0,9.51,0.0,100.0,210,11.03,-3.358,3.358,100.0,0.0,0.0,0.0
2001,10,Pacific Coast,283,0.1716,-0.3338,0.5186,-31.8692,31.2015,63.0707,70.67,29.33,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,10,Gulf Coast,57,-0.1287,-1.9955,20.3109,-34.321,30.3299,64.6509,66.67,33.33,56.14,29.82,10.53,100.0,2,3.51,52.9377,52.9377,0.0,100.0,0.0,100.0
2001,10,Atlantic Coast,835,-0.619,0.8968,2.1057,-28.4818,30.2754,58.7572,37.37,62.63,0.0,0.0,0.0,100.0,389,46.59,2.8111,2.8111,0.0,100.0,0.0,0.0
2001,11,AK Coast,1904,-0.7555,-1.9401,3.1138,-31.1922,27.3121,58.5043,82.41,17.59,0.0,4.2,0.0,100.0,944,49.58,-3.3727,3.3727,100.0,0.0,0.0,0.0
2001,11,Pacific Coast,283,0.6169,-0.8302,0.8487,-32.3946,30.7342,63.1287,94.7,5.3,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,11,Gulf Coast,57,0.5593,-14.7184,16.0238,-47.0442,17.6074,64.6517,92.98,7.02,85.96,1.75,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,11,Atlantic Coast,835,-0.7648,0.9719,2.2547,-28.4673,30.4111,58.8784,32.81,67.19,0.0,0.0,0.0,100.0,413,49.46,2.915,2.915,0.0,100.0,0.0,0.0
2001,12,AK Coast,1904,-0.6694,-1.972,3.2431,-31.1077,27.1637,58.2714,85.61,14.39,0.0,5.25,0.0,100.0,662,34.77,-3.3489,3.3489,100.0,0.0,0.0,0.0
2001,12,Pacific Coast,283,0.6627,-0.9744,1.0748,-32.5495,30.6007,63.1503,98.59,1.41,0.0,0.0,0.0,100.0,4,1.41,3.5518,3.5518,0.0,100.0,0.0,0.0
2001,12,Gulf Coast,57,0.2108,-13.3657,17.0498,-45.5257,18.7943,64.3199,80.7,19.3,77.19,8.77,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,12,Atlantic Coast,835,-1.1937,1.8004,2.1308,-27.6455,31.2462,58.8917,17.6,82.4,0.0,0.0,0.0,100.0,492,58.92,2.8924,2.8924,0.0,100.0,0.0,0.0
2002,1,AK Coast,1904,-0.5239,-1.7246,3.2967,-30.7035,27.2542,57.9577,79.88,20.12,0.0,5.36,0.0,100.0,490,25.74,-3.581,3.581,100.0,0.0,0.0,0.0
2002,1,Pacific Coast,283,0.7651,-0.9978,0.9978,-32.5711,30.5756,63.1467,100.0,0.0,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2002,1,Gulf Coast,57,-0.164,-1.5208,14.1306,-33.8005,30.7588,64.5592,50.88,49.12,42.11,35.09,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2002,1,Atlantic Coast,835,-1.1787,1.9496,2.1092,-27.4569,31.3561,58.813,9.58,90.42,0.0,0.0,0.0,100.0,500,59.88,2.8059,2.8059,0.0,100.0,0.0,0.0
2002,2,AK Coast,1904,0.2395,2.0481,4.0583,-26.8131,30.9093,57.7225,38.66,61.34,0.0,25.11,0.0,100.0,226,11.87,-3.4801,3.4801,100.0,0.0,0.0,0.0
2002,2,Pacific Coast,283,0.2806,-0.3631,0.8552,-31.9191,31.1929,63.1121,69.96,30.04,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2002,2,Gulf Coast,57,-1.1226,49.8337,49.8337,16.2985,83.3689,67.0705,0.0,100.0,0.0,100.0,92.98,100.0,43,75.44,52.4362,52.4362,0.0,100.0,0.0,100.0
2002,2,Atlantic Coast,835,-1.0891,1.8194,2.1105,-27.5572,31.1959,58.7531,14.73,85.27,0.0,0.0,0.0,100.0,500,59.88,2.71,2.71,0.0,100.0,0.0,0.0
2002,3,AK Coast,1904,0.1135,1.4597,4.0786,-27.4283,30.3476,57.7759,52.1,47.9,0.0,28.26,0.0,100.0,270,14.18,-3.3936,3.3936,100.0,0.0,0.0,0.0
2002,3,Pacific Coast,283,-0.2238,0.4058,1.1427,-31.1596,31.9713,63.1309,53.0,47.0,0.0,0.0,0.0,100.0,81,28.62,2.2176,2.2176,0.0,100.0,0.0,0.0
2002,3,Gulf Coast,57,-1.4419,46.3368,46.3368,12.4793,80.1944,67.7151,0.0,100.0,0.0,100.0,91.23,100.0,57,100.0,46.3368,46.3368,0.0,100.0,0.0,100.0
2002,3,Atlantic Coast,835,-0.4615,0.9151,1.3118,-28.3458,30.1761,58.522,28.86,71.14,0.0,0.0,0.0,100.0,215,25.75,2.6945,2.6945,0.0,100.0,0.0,0.0
2002,4,AK Coast,1904,-0.1463,0.0916,3.378,-28.7973,28.9804,57.7777,54.83,45.17,0.0,12.08,0.0,100.0,389,20.43,-3.5801,3.5801,100.0,0.0,0.0,0.0
2002,4,Pacific Coast,283,-0.5766,0.9743,1.1985,-30.594,32.5425,63.1365,27.21,72.79,0.0,0.0,0.0,100.0,104,36.75,2.0947,2.0947,0.0,100.0,0.0,0.0
2002,4,Gulf Coast,57,-1.2354,52.6044,52.6044,18.8643,86.3445,67.4802,0.0,100.0,0.0,100.0,100.0,100.0,56,98.25,52.6604,52.6604,0.0,100.0,0.0,100.0
2002,4,Atlantic Coast,835,-0.5043,1.0119,1.3068,-28.2421,30.2659,58.508,17.72,82.28,0.0,0.0,0.0,100.0,190,22.75,2.56,2.56,0.0,100.0,0.0,0.0
2002,5,AK Coast,1904,-0.63,0.1074,3.7315,-29.4624,29.6771,59.1395,65.76,34.24,0.0,19.96,0.0,100.0,911,47.85,-2.8257,2.8257,100.0,0.0,0.0,0.0
2002,5,Pacific Coast,283,-0.3845,0.5844,0.7811,-30.9622,32.1311,63.0934,20.85,79.15,0.0,0.0,0.0,100.0,42,14.84,1.9865,1.9865,0.0,100.0,0.0,0.0
2002,5,Gulf Coast,57,-0.4902,20.1393,20.2321,-12.4021,52.6807,65.0828,1.75,98.25,0.0,91.23,10.53,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2002,5,Atlantic Coast,835,-0.3248,0.6663,1.1131,-28.5678,29.9004,58.4683,28.98,71.02,0.0,0.0,0.0,100.0,86,10.3,2.6397,2.6397,0.0,100.0,0.0,0.0
2002,6,AK Coast,1904,-0.3974,-0.7877,3.1841,-29.8391,28.2637,58.1028,68.64,31.36,0.0,8.67,0.0,100.0,592,31.09,-3.3778,3.3778,100.0,0.0,0.0,0.0
2002,6,Pacific Coast,283,-0.5016,0.7689,0.9924,-30.7947,32.3324,63.1271,27.21,72.79,0.0,0.0,0.0,100.0,58,20.49,2.5166,2.5166,0.0,100.0,0.0,0.0
2002,6,Gulf Coast,57,-0.1981,-1.0111,11.1455,-33.2722,31.2501,64.5223,61.4,38.6,47.37,26.32,1.75,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2002,6,Atlantic Coast,835,-0.1428,0.2755,1.1321,-28.96,29.511,58.471,46.59,53.41,0.0,0.0,0.0,100.0,76,9.1,2.631,2.631,0.0,100.0,0.0,0.0
2002,7,AK Coast,1904,-0.5309,-1.9099,2.8533,-30.8745,27.0548,57.9293,80.15,19.85,0.0,1.37,0.0,100.0,432,22.69,-3.4692,3.4692,100.0,0.0,0.0,0.0
2002,7,Pacific Coast,283,-0.4792,0.7562,0.9319,-30.8043,32.3167,63.121,26.5,73.5,0.0,0.0,0.0,100.0,51,18.02,2.4883,2.4883,0.0,100.0,0.0,0.0
2002,7,Gulf Coast,57,-0.3272,8.2466,18.4087,-24.1933,40.6866,64.8799,42.11,57.89,33.33,43.86,12.28,100.0,3,5.26,53.6217,53.6217,0.0,100.0,0.0,100.0
2002,7,Atlantic Coast,835,-0.1053,0.2149,1.1629,-29.018,29.4477,58.4657,42.04,57.96,0.0,0.0,0.0,100.0,68,8.14,2.4606,2.4606,0.0,100.0,0.0,0.0
2002,8,AK Coast,1904,-0.4296,0.1738,4.0608,-29.1061,29.4536,58.5597,66.44,33.56,0.0,20.48,0.0,100.0,557,29.25,-2.8586,2.8586,100.0,0.0,0.0,0.0
2002,8,Pacific Coast,283,-0.821,1.3896,1.4434,-30.201,32.9801,63.1811,6.36,93.64,0.0,0.0,0.0,100.0,86,30.39,2.5967,2.5967,0.0,100.0,0.0,0.0
