"site_name","water_class","SPEI_timescale","n_months","slope","r_squared","correlation"
"US-xSB","Upland","SPEI_24",43,-0.804643711430477,0.112743834142661,-0.335773486360465
"US-xSE","Upland","SPEI_24",42,-0.847698950553821,0.116682651934764,-0.341588424766947
"US-A03","Saline","SPEI_36",17,0.256351482098157,0.00142002540069023,0.0376832243934914
"US-A10","Saline","SPEI_36",31,0.726302000066594,0.0642832441431181,0.253541405184869
"US-Atq","Freshwater","SPEI_36",26,-2.36714602732362,0.3422175020176,-0.584993591432932
"US-BWb","Upland","SPEI_36",10,-0.344941165209941,0.0070471386155063,-0.0839472370927495
"US-Brw","Upland","SPEI_36",25,0.724125826203607,0.0542577165440171,0.232932858446414
"US-CGG","Upland","SPEI_36",17,-0.637830676367163,0.0225009315102031,-0.150003105001873
"US-Ced","Upland","SPEI_36",58,-0.0609306872130698,0.00821561137983365,-0.0906400098181463
"US-Cms","Upland","SPEI_36",19,0.519138078414096,0.0217251284910963,0.147394465605383
"US-Dix","Upland","SPEI_36",15,-0.431101566975718,0.0981510554702174,-0.313290688451185
"US-Dmg","Freshwater","SPEI_36",25,-0.040321569472779,0.0165525752442673,-0.128656811884436
"US-EDN","Saline","SPEI_36",44,-0.13636907965978,0.0373355761274606,-0.193224160309886
"US-EKH","Saline","SPEI_36",15,0.060364651060552,0.00103039108450142,0.0320997053647136
"US-EKN","Saline","SPEI_36",6,-0.40103672032999,0.744779428456224,-0.863006041958122
