"site_name","water_class","SPEI_timescale","n_months","slope","r_squared","correlation"
"US-KS2","Upland","SPEI_6",46,0.275382330600122,0.0498108089796145,0.22318335282815
"US-KS3","Saline","SPEI_6",6,-0.0414484528353237,0.000321619058800205,-0.0179337407921548
"US-KS4","Saline","SPEI_6",31,-0.882680152555373,0.063572641291054,-0.252136156255016
"US-LA2","Freshwater","SPEI_6",37,-0.102118066370146,0.00759172418806312,-0.0871305009056136
"US-LA3","Saline","SPEI_6",25,0.101118586052853,0.0302655364850063,0.17396992982986
"US-MCP","Freshwater","SPEI_6",18,-0.224145559944736,0.00788862049753776,-0.0888179064014556
"US-MRf","Upland","SPEI_6",41,0.0146083503477602,2.00974043254737e-05,0.00448301286251487
"US-Myb","Freshwater","SPEI_6",82,0.00609571238424847,0.00031648331809669,0.0177899780240643
"US-NC4","Freshwater","SPEI_6",78,-0.0159843537563878,0.00042807711936906,-0.0206900246343271
"US-NGC","Upland","SPEI_6",19,0.278075861588475,0.0584143512708574,0.241690610638596
"US-ONA","Upland","SPEI_6",43,-0.0173593517379353,0.000167439192043179,-0.0129398296759725
"US-PAS","Upland","SPEI_6",11,0.185880201650278,0.019243911115806,0.138722424704177
"US-PHM","Saline","SPEI_6",32,0.190829795273856,0.255455025498622,0.505425588488179
"US-RRC","Freshwater","SPEI_6",20,0.109998010041439,0.0230692749149112,0.151885729793523
"US-SCg","Upland","SPEI_6",32,-1.81829826726815,0.134448262737171,-0.366671873392508
"US-SCs","Upland","SPEI_6",17,-1.23643277816663,0.0289471122377437,-0.17013850897943
"US-SO2","Upland","SPEI_6",27,-0.953008044821908,0.0316625836282325,-0.177939831483096
"US-SO3","Upland","SPEI_6",26,0.100170151088228,0.000974671959940126,0.0312197367051698
"US-SO4","Upland","SPEI_6",8,-1.57325166588292,0.0556728174051038,-0.235950879220874
"US-Skr","Saline","SPEI_6",95,-0.126036748306941,0.0409500538693938,-0.202361196550608
"US-Slt","Upland","SPEI_6",81,-0.705317529371082,0.148265282640652,-0.385052311563834
"US-Snd","Upland","SPEI_6",55,0.174521816339723,0.0499554995962303,0.223507269671996
"US-Sne","Freshwater","SPEI_6",33,-0.365581669185061,0.09188656509473,-0.303127968182961
"US-StJ","Saline","SPEI_6",30,0.206544008935128,0.00785517779602299,0.0886294409100214
"US-TaS","Saline","SPEI_6",28,0.288919674382325,0.212128433130923,0.460574025679828
"US-Tw1","Freshwater","SPEI_6",62,0.0657224546273227,0.018448183685165,0.135824090960201
"US-Tw3","Freshwater","SPEI_6",35,-0.171255012167287,0.120278750474311,-0.34681226978628
"US-Tw4","Freshwater","SPEI_6",60,0.00277392823187705,1.24148389603229e-05,0.00352346973313565
"US-Tw5","Freshwater","SPEI_6",11,1.63685115541169,0.516337060070852,0.718565974751694
"US-Twt","Upland","SPEI_6",30,-0.0677434837941271,0.00486165999863412,-0.0697256050431556
"US-xBA","Freshwater","SPEI_6",19,0.086249622729298,0.00229076173670005,0.0478619027693223
"US-xSB","Upland","SPEI_6",43,-0.360111175254357,0.0155996103267082,-0.124898400016606
"US-xSE","Upland","SPEI_6",42,-1.27096223442421,0.204238568673405,-0.451927614417846
"US-A03","Saline","SPEI_12",17,1.25013382913618,0.0507557696035261,0.225290411699047
"US-A10","Saline","SPEI_12",31,0.420133791116132,0.0249533358130289,0.157966248968027
"US-Atq","Freshwater","SPEI_12",26,-1.07166639241938,0.192094908471728,-0.438286331604954
"US-BWb","Upland","SPEI_12",10,0.303163403300003,0.00293775747955224,0.0542010837488715
"US-Brw","Upland","SPEI_12",25,0.652808441236985,0.068027947659813,0.260821677894712
"US-CGG","Upland","SPEI_12",17,-2.10956297861845,0.55635972723687,-0.745895252188181
"US-Ced","Upland","SPEI_12",58,0.0616170168369683,0.0113654820642344,0.106609014929481
"US-Cms","Upland","SPEI_12",19,0.526498909580034,0.0486227508427479,0.220505670772314
"US-Dix","Upland","SPEI_12",15,-0.430901136712577,0.219049363801255,-0.468027097293794
"US-Dmg","Freshwater","SPEI_12",25,-0.0329151383452306,0.0020694278549442,-0.0454909645418096
"US-EDN","Saline","SPEI_12",44,0.112590667252685,0.0327179512788329,0.180881041789439
"US-EKH","Saline","SPEI_12",15,0.474037191665432,0.0643641771291785,0.253700960047806
"US-EKN","Saline","SPEI_12",6,0.3016254419818,0.532097733194764,0.729450295218779
"US-EKP","Saline","SPEI_12",13,-0.1723841305603,0.0355172198512762,-0.188460128014591
"US-Elm","Freshwater","SPEI_12",43,-0.0177577157908147,0.00579267437141736,-0.0761096207546548
"US-Esm","Freshwater","SPEI_12",50,-0.0690324096656946,0.0133947747252895,-0.115735797078041
"US-Fo1","Freshwater","SPEI_12",7,-7.2750355134464,0.0418928262810378,-0.204677371199255
"US-GCE","Saline","SPEI_12",25,0.13009788763254,0.0128293692731267,0.113266805698433
"US-HB1","Saline","SPEI_12",47,0.109358606069505,0.034556191842112,0.185892958021847
"US-HB2","Upland","SPEI_12",47,0.425154043276571,0.22050260353701,0.469577047498076
"US-HB3","Upland","SPEI_12",40,0.069342605743642,0.0100647455068391,0.100323205226105
"US-KPL","Freshwater","SPEI_12",10,0.545690489172148,0.0911289792414058,0.301875767893691
"US-KS1","Upland","SPEI_12",8,0.421284280584634,0.0321652521734305,0.179346737281252
"US-KS2","Upland","SPEI_12",46,0.648664661240508,0.169362274108552,0.411536479681391
"US-KS3","Saline","SPEI_12",6,-0.955070987513105,0.616783578822838,-0.78535570210118
"US-KS4","Saline","SPEI_12",31,-1.30569443034079,0.074450346476988,-0.272855907901933
"US-LA2","Freshwater","SPEI_12",37,-0.236022397763461,0.031331096311518,-0.177005921684892
"US-LA3","Saline","SPEI_12",25,-0.138258629104523,0.0392223255877807,-0.198046271330164
"US-MCP","Freshwater","SPEI_12",18,-0.345776787322931,0.031932751816226,-0.17869737495617
"US-MRf","Upland","SPEI_12",41,-0.220262797212442,0.00328226084975624,-0.0572910189275444
"US-Myb","Freshwater","SPEI_12",82,0.0189625392568616,0.00570194847219224,0.0755112473224502
"US-NC4","Freshwater","SPEI_12",78,-0.144208055026132,0.0348131901239299,-0.18658293095546
"US-NGC","Upland","SPEI_12",19,0.523302503874979,0.0882505195639353,0.297069890032523
"US-ONA","Upland","SPEI_12",43,0.167234058445344,0.0129985177588625,0.11401104226724
"US-PAS","Upland","SPEI_12",11,0.93617025974351,0.167651655736138,0.409452873644988
"US-PHM","Saline","SPEI_12",32,0.142641841009467,0.180712544250407,0.425102980759259
"US-RRC","Freshwater","SPEI_12",20,0.176906322810717,0.0655684666364831,0.256063403547799
"US-SCg","Upland","SPEI_12",32,-2.02621505104901,0.153217382544563,-0.391429920349178
"US-SCs","Upland","SPEI_12",17,-1.70407292165836,0.0790345746641415,-0.28113088529036
"US-SO2","Upland","SPEI_12",27,-1.61063224574652,0.107960658532654,-0.328573672914696
"US-SO3","Upland","SPEI_12",26,0.349937283941882,0.0151725034730981,0.123176716440641
"US-SO4","Upland","SPEI_12",8,-2.19292155866481,0.155199011252336,-0.393953057168409
"US-Skr","Saline","SPEI_12",95,-0.0338644222244848,0.00288773410312046,-0.0537376413989343
"US-Slt","Upland","SPEI_12",81,-0.613003824644823,0.124119421639377,-0.35230586375957
"US-Snd","Upland","SPEI_12",55,0.0389795017318977,0.00262302275908177,0.0512154542992814
"US-Sne","Freshwater","SPEI_12",33,-0.369261890142997,0.0828007763580232,-0.28775124041092
"US-StJ","Saline","SPEI_12",30,-0.280122197364326,0.0269427992677084,-0.164142618681768
"US-TaS","Saline","SPEI_12",28,0.0408522767037692,0.00754394933262976,0.0868559113280712
"US-Tw1","Freshwater","SPEI_12",62,0.0511420001339285,0.0191713117283231,0.138460506023642
"US-Tw3","Freshwater","SPEI_12",35,-0.118212376191605,0.0762447124927615,-0.276124451095446
"US-Tw4","Freshwater","SPEI_12",60,-0.000809116354685243,2.38710012797777e-06,-0.00154502431307018
"US-Tw5","Freshwater","SPEI_12",11,1.44416403828325,0.595231890464962,0.771512728647404
"US-Twt","Upland","SPEI_12",30,0.0241795306500807,0.000863932346583928,0.0293927260828921
"US-xBA","Freshwater","SPEI_12",19,0.191860230938352,0.00294774614891643,0.0542931501104552
"US-xSB","Upland","SPEI_12",43,-0.297244508374103,0.013665218037893,-0.116898323503346
"US-xSE","Upland","SPEI_12",42,-0.397732546342261,0.0272590973954307,-0.165103293108983
"US-A03","Saline","SPEI_24",17,0.693637017313568,0.0148261432184278,0.121762651163761
"US-A10","Saline","SPEI_24",31,0.658178112859106,0.0547279377384787,0.233940030218171
"US-Atq","Freshwater","SPEI_24",26,-1.25658207375239,0.163894318958275,-0.404838633233385
"US-BWb","Upland","SPEI_24",10,-0.283051110952548,0.0257751033828866,-0.160546265552602
"US-Brw","Upland","SPEI_24",25,0.337804361105056,0.0114966510403485,0.107222437205785
"US-CGG","Upland","SPEI_24",17,-1.6235762627475,0.288566802245178,-0.537184141840745
"US-Ced","Upland","SPEI_24",58,0.136883712652376,0.0463900733492792,0.215383549393354
"US-Cms","Upland","SPEI_24",19,0.535818412863085,0.0273070496985362,0.165248448399784
"US-Dix","Upland","SPEI_24",15,-0.751697253768316,0.388201286733469,-0.623058012333899
"US-Dmg","Freshwater","SPEI_24",25,-0.00740133591735091,0.000437671907846636,-0.0209206096432833
"US-EDN","Saline","SPEI_24",44,-0.0271106364743801,0.0020849888767775,-0.0456616784270739
