"site_name","water_class","n_months","mean_TET","mean_WUE_T","var_WUE_T","cv_WUE_T","stability","plasticity_slope_SPEI3","plasticity_r2_SPEI3","plasticity_range","plasticity_p95_p05","WUE_T_max","WUE_T_min","resistance","mean_WUE_T_drought","mean_WUE_T_near_normal","n_events","mean_recovery","pct_full_recovery"
"US-KPL","Freshwater",10,0.430451023097112,5.8829385157076,5.23780626929918,0.389027592983775,1.12316840548109,0.530931960867974,0.225571753938995,3.0913955135963,2.67728330326309,10.7810644519666,3.48744261436309,NA,NA,NA,1,1.13715990080889,100
"US-KS1","Upland",8,0.640858662681673,3.99344949978075,1.57674348701123,0.314436045728364,2.53271983215892,0.110658575858864,0.00340468739430596,2.58941617185113,2.22838714247595,6.39468417362462,2.46954670444233,NA,NA,NA,NA,NA,NA
"US-KS2","Upland",46,0.730554919490489,3.23862371445118,1.30498749025231,0.352730230869761,2.48172778562422,0.176862832381215,0.0189095194587628,3.46806728156819,2.74511525785234,5.83869355978835,1.68355832968391,0.89831961581049,2.95746795706342,3.29222239502708,NA,NA,NA
"US-KS3","Saline",6,0.668582059085427,2.32239731742036,0.379334268503923,0.265200609483043,6.12229769427315,-0.38236163115282,0.592705407563146,2.11677660126261,1.94121692877626,3.15469601770597,1.49033016324172,NA,NA,NA,NA,NA,NA
"US-KS4","Saline",31,0.243204522370755,8.27868974397473,9.12378091905692,0.364859633149517,0.907374893963417,-1.52181415652084,0.261060764223251,3.20164139312736,2.97363941297951,15.3715691393698,4.80115267511422,1.58281913074365,12.1313534917598,7.66439655430506,NA,NA,NA
"US-LA2","Freshwater",37,0.613639900901248,4.35566104562658,2.7353284014321,0.379708799298627,1.59237225166314,0.00603043710662751,3.48131970043621e-05,6.01685051570278,3.12560600889206,8.25830302799288,1.37252920052449,0.648848534603017,3.22977599867971,4.97770408105456,NA,NA,NA
"US-LA3","Saline",25,0.514207953170874,4.53219078949272,0.617531769092572,0.173388970743792,7.33920263916546,0.0015981406202434,1.03968204060261e-05,1.94009600927783,1.71648317234028,6.21801280008623,3.20500262376232,1.02780383213922,4.56017128984117,4.43681094314454,2,1.03723174952125,100
"US-MCP","Freshwater",18,0.57289883741667,7.56121832156638,3.31044278384125,0.240630827787648,2.28405044741259,0.00321506003821632,2.42015048735318e-06,2.51898246438987,2.11227256202562,11.0522111724371,4.38756971462845,0.920274378293439,7.05210101295298,7.66304178328906,1,1.04143029757698,100
"US-MRf","Upland",41,0.648235355002671,9.10641780045259,6.34700665005636,0.276653968829447,1.43475787919203,0.415098392845256,0.0192183200504369,2.95910683219216,2.3079895936319,14.6151274840913,4.93903340193503,1.06261461201707,9.31462992431404,8.76576495276393,2,1.30766001854786,100
"US-Myb","Freshwater",82,0.605127330046593,2.62381031840463,0.163018365834309,0.15388129482504,16.0951823125957,-0.022590580934229,0.00385940714236792,2.04891811319689,1.66827903704763,3.46951758328425,1.69334126187738,1.02766952159557,2.67289902846172,2.60093247127905,4,0.977106170955403,50
