"metric","SPEI_timescale","water_class","coast_region","dry_SPEI_prob_25","dry_SPEI_prob_50","dry_SPEI_prob_75","wet_SPEI_prob_25","wet_SPEI_prob_50","wet_SPEI_prob_75","min_decline_probability_10","max_decline_probability_10"
"WUE_T","SPEI_36","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.352297810202789,0.383177285733276
"WUE_T","SPEI_36","Freshwater","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.264527205218144,0.291171907890923
"WUE_T","SPEI_36","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.297495707990656,0.325989294194277
"WUE_T","SPEI_36","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.385368969330966,0.417279682891753
"WUE_T","SPEI_36","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.340985960945977,0.371442538434013
"WUE_T","SPEI_36","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.290047975443775,0.318151285704753
"WUE_T","SPEI_36","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.324792547325406,0.354580965271255
"WUE_T","SPEI_36","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.415954622826271,0.448549695230985
"WUE_T","SPEI_36","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.370170570029467,0.401645175740877
"WUE_T","SPEI_48","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.263289515292727,0.344492567454741
"WUE_T","SPEI_48","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.296165879347507,0.382247546563737
"WUE_T","SPEI_48","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.383860973568578,0.478116844008369
"WUE_T","SPEI_48","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.339555693146879,0.430534385433005
"WUE_T","SPEI_48","Freshwater","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.253716105866251,0.333302369567721
"WUE_T","SPEI_48","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.285860907033791,0.370524168639766
"WUE_T","SPEI_48","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.372117919847951,0.465669608125533
"WUE_T","SPEI_48","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.32844550859026,0.418332939140952
"WUE_T","SPEI_48","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.278588939523622,0.362190778751625
"WUE_T","SPEI_48","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.312565178040079,0.400699735863349
"WUE_T","SPEI_48","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.402340321519329,0.497470127268823
"WUE_T","SPEI_48","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.357138458778702,0.449620979606438
