"site_name","water_class","coast_region","metric","SPEI_timescale","n_months","baseline_WUE","mean_pct_change","min_pct_change","pct_months_decline_2_5","pct_months_decline_5","pct_months_decline_10","pct_months_decline_20","dry_decline_2_5_threshold","dry_decline_5_threshold","dry_decline_10_threshold","dry_decline_20_threshold","wet_decline_5_threshold","wet_decline_2_5_threshold","wet_decline_10_threshold","wet_decline_20_threshold"
"US-SO4","Upland","Gulf Coast","WUE_T","SPEI_48",3,10.9332712261188,8.88178419700125e-15,-41.5776417244082,66.6666666666667,66.6666666666667,66.6666666666667,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"US-StJ","Saline","Atlantic Coast","WUE_ET","SPEI_48",30,3.247331200631,-1.58500982223635,-32.9051920567014,56.6666666666667,50,23.3333333333333,6.66666666666667,NA,NA,NA,NA,1.07942404855728,1.07942404855728,1.25199386785833,1.25199386785833
"US-StJ","Saline","Atlantic Coast","WUE_T","SPEI_48",30,7.21118227232107,-2.23799712457322,-34.0266663600665,36.6666666666667,30,23.3333333333333,16.6666666666667,NA,NA,NA,NA,1.25199386785833,1.07942404855728,1.25199386785833,1.25199386785833
"US-Tw1","Freshwater","Pacific Coast","WUE_ET","SPEI_48",60,1.76155665991035,-0.986447280108072,-22.7718777069118,45,35,21.6666666666667,6.66666666666667,-2.19843916718873,-2.19843916718873,-2.19843916718873,NA,1.18775259353913,1.18775259353913,1.18775259353913,1.53852028150381
"US-Tw1","Freshwater","Pacific Coast","WUE_T","SPEI_48",60,3.04287955847808,-0.371871666335618,-39.4837599859463,48.3333333333333,43.3333333333333,28.3333333333333,3.33333333333333,-2.19843916718873,-2.19843916718873,-2.19843916718873,-2.19843916718873,1.18775259353913,1.18775259353913,1.18775259353913,1.18775259353913
"US-Tw3","Freshwater","Pacific Coast","WUE_ET","SPEI_48",4,2.61314877661271,-7.23072069020036,-28.9228827608014,50,50,50,50,-2.27505360218994,-2.27505360218994,-2.27505360218994,-2.27505360218994,NA,NA,NA,NA
"US-Tw3","Freshwater","Pacific Coast","WUE_T","SPEI_48",4,4.50228037809282,4.42831379243714,-9.60527564627789,25,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"US-Tw4","Freshwater","Pacific Coast","WUE_ET","SPEI_48",59,2.00280180342034,-4.75492164803908,-51.4429544088555,52.5423728813559,49.1525423728814,44.0677966101695,20.3389830508475,-1.01680570847372,-1.01680570847372,-1.01680570847372,-1.01680570847372,1.17432351915303,1.17432351915303,1.17432351915303,1.18775259353913
"US-Tw4","Freshwater","Pacific Coast","WUE_T","SPEI_48",59,3.35711518004723,-2.36369602282734,-43.5153314543164,55.9322033898305,49.1525423728814,33.8983050847458,16.9491525423729,-1.01680570847372,-1.01680570847372,-1.97987783784621,-1.97987783784621,1.16403792747697,1.16403792747697,1.17432351915303,1.18430343231338
"US-Twt","Upland","Pacific Coast","WUE_ET","SPEI_48",32,1.11707864689093,-1.40231970307138,-71.4401809069673,50,50,40.625,28.125,-1.03202470430934,-1.03202470430934,-2.18696972393263,-2.18696972393263,NA,NA,NA,NA
"US-Twt","Upland","Pacific Coast","WUE_T","SPEI_48",32,2.11856774228875,0.687070170749987,-76.541658194233,50,43.75,31.25,25,-1.03202470430934,-1.03202470430934,-2.18696972393263,-2.18696972393263,NA,NA,NA,NA
"US-xSB","Upland","Atlantic Coast","WUE_ET","SPEI_48",7,2.15979297967935,-8.08501159632469,-52.4045524600189,71.4285714285714,42.8571428571429,28.5714285714286,14.2857142857143,-1.84220511082465,-1.84220511082465,NA,NA,1.26257879203065,1.12067168760705,1.26257879203065,1.26257879203065
"US-xSB","Upland","Atlantic Coast","WUE_T","SPEI_48",7,7.44544445095892,-12.8966483476205,-63.8161402974822,71.4285714285714,71.4285714285714,71.4285714285714,28.5714285714286,-1.84220511082465,-1.84220511082465,-1.84220511082465,NA,1.12067168760705,1.12067168760705,1.12067168760705,1.26257879203065
"US-xSE","Upland","Atlantic Coast","WUE_ET","SPEI_48",40,2.35786465398811,18.5591741261017,-93.6389246626062,37.5,37.5,27.5,20,-1.03073122869941,-1.03073122869941,-1.03073122869941,-1.03073122869941,NA,NA,NA,NA
"US-xSE","Upland","Atlantic Coast","WUE_T","SPEI_48",40,3.95308000564316,16.1675024238566,-93.2844660500737,40,37.5,35,22.5,-1.03073122869941,-1.03073122869941,-1.03073122869941,-1.03073122869941,NA,NA,NA,NA
