"metric","SPEI_timescale","water_class","coast_region","SPEI_value","month_f","site_name","model_group","decline_probability_10","decline_probability_10_lower","decline_probability_10_upper"
"WUE_ET","SPEI_36","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.482112848642116,0.300688274923114,0.668379348959998
"WUE_T","SPEI_36","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.417120122192866,0.257316804045702,0.596462699501966
"WUE_ET","SPEI_48","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.491433747880907,0.309949147746753,0.675204603442029
"WUE_T","SPEI_48","Saline","Gulf Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.490239883698681,0.308312009184528,0.674790314410917
"WUE_ET","SPEI_1","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.344090863055309,0.242670643885037,0.462038213465489
"WUE_T","SPEI_1","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.323306451633344,0.223629609638002,0.44211145788691
"WUE_ET","SPEI_3","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.320183509997192,0.228774508772976,0.427853744415624
"WUE_T","SPEI_3","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.30365559699981,0.206435809221305,0.422295908730672
"WUE_ET","SPEI_6","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.321329485981151,0.229652571828831,0.429212845556565
"WUE_T","SPEI_6","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.302338769749393,0.207626652441757,0.417491438715421
"WUE_ET","SPEI_12","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.32696362931851,0.234074788926259,0.435743047412179
"WUE_T","SPEI_12","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.321220658643526,0.222991892464322,0.438310847098036
"WUE_ET","SPEI_24","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.329526442966378,0.229724850627669,0.44749680286611
"WUE_T","SPEI_24","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.282020856640988,0.19176903106331,0.394039701780788
"WUE_ET","SPEI_36","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.415534822503133,0.288385184285886,0.55502083127118
"WUE_T","SPEI_36","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.353392869047258,0.249906991095784,0.472724946051581
"WUE_ET","SPEI_48","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.424623920722534,0.298013470488312,0.561963716474363
"WUE_T","SPEI_48","Upland","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.423457218332147,0.296180871615786,0.561772053890776
"WUE_ET","SPEI_1","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.332907086893331,0.230049593565956,0.454600234953922
"WUE_T","SPEI_1","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.312476388519626,0.21182559215635,0.434582550884945
"WUE_ET","SPEI_3","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.309410226134121,0.216464451661132,0.42083029486041
"WUE_T","SPEI_3","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.293198582723262,0.195332329023182,0.414820627202199
"WUE_ET","SPEI_6","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.310535256643695,0.217346850293786,0.4221286640681
"WUE_T","SPEI_6","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.291908093380183,0.196327588995734,0.410266767685215
"WUE_ET","SPEI_12","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.316068279192233,0.221623781338937,0.428598645381245
"WUE_T","SPEI_12","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.310428412903446,0.211117786095714,0.430935937578951
"WUE_ET","SPEI_24","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.318586117388715,0.217628933390232,0.440035878756368
"WUE_T","SPEI_24","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.272017840665572,0.181125316064855,0.386967828414388
"WUE_ET","SPEI_36","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.403457297070416,0.27484914952638,0.546861300613215
"WUE_T","SPEI_36","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.342064428018573,0.237078725757748,0.46519308282709
"WUE_ET","SPEI_48","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.412468653889141,0.284084912426892,0.553976249374512
"WUE_T","SPEI_48","Freshwater","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.411311474705706,0.282331323004656,0.553749959113655
"WUE_ET","SPEI_1","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.361779826875352,0.289605753964879,0.44078039831406
"WUE_T","SPEI_1","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.340481581340409,0.267046606942925,0.422470763222165
"WUE_ET","SPEI_3","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.337275426448852,0.277293624661477,0.402996973938002
"WUE_T","SPEI_3","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.320280897035132,0.246574001646705,0.404200349221964
"WUE_ET","SPEI_6","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.338452120494649,0.278329211190014,0.404286752811725
"WUE_T","SPEI_6","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.3189249931506,0.24892673233234,0.398171813663867
"WUE_ET","SPEI_12","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.344234209527523,0.283262520374293,0.410807716160283
"WUE_T","SPEI_12","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.338340385123363,0.266674638434495,0.418280173246256
"WUE_ET","SPEI_24","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.346862627878404,0.274239218510028,0.427392511199554
"WUE_T","SPEI_24","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.297968501345618,0.230661542911821,0.375333852615057
"WUE_ET","SPEI_36","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.434463774877697,0.334090093639704,0.540516000955547
"WUE_T","SPEI_36","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_36",0.37128933726053,0.297440017243884,0.451686010940306
"WUE_ET","SPEI_48","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_48",0.443652625342382,0.34517371968054,0.54676793137548
"WUE_T","SPEI_48","Saline","AK Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_48",0.44247384633393,0.342889274463569,0.546908852657189
