"site_name","metric","SPEI_timescale","month_f","baseline_WUE","baseline_n"
"US-KS2","WUE_T","SPEI_48","5",3.59407275997285,6
"US-KS2","WUE_T","SPEI_48","6",3.14203044009655,6
"US-KS2","WUE_T","SPEI_48","7",2.90089737850842,7
"US-KS2","WUE_T","SPEI_48","8",2.71364550705178,7
"US-KS2","WUE_T","SPEI_48","9",3.43963687163564,7
"US-KS2","WUE_T","SPEI_48","10",3.95862085104597,5
"US-KS4","WUE_ET","SPEI_48","3",1.43963009238513,1
"US-KS4","WUE_ET","SPEI_48","4",2.3286612523255,1
"US-KS4","WUE_ET","SPEI_48","5",2.97828560030015,1
"US-KS4","WUE_ET","SPEI_48","6",2.15635063762058,1
"US-KS4","WUE_ET","SPEI_48","7",2.01413936900852,1
"US-KS4","WUE_ET","SPEI_48","9",2.10417206371144,1
"US-KS4","WUE_T","SPEI_48","3",7.02486638082036,1
"US-KS4","WUE_T","SPEI_48","4",14.5899866077466,1
"US-KS4","WUE_T","SPEI_48","5",12.1586400118096,1
"US-KS4","WUE_T","SPEI_48","6",6.72016914877001,1
"US-KS4","WUE_T","SPEI_48","7",10.4131493084255,1
"US-KS4","WUE_T","SPEI_48","9",7.28338229116339,1
"US-LA2","WUE_ET","SPEI_48","3",0.931432402394904,2
"US-LA2","WUE_ET","SPEI_48","4",2.86017418967598,4
"US-LA2","WUE_ET","SPEI_48","5",3.09431122687541,4
"US-LA2","WUE_ET","SPEI_48","6",2.96976945285369,4
"US-LA2","WUE_ET","SPEI_48","7",3.14173655224504,4
"US-LA2","WUE_ET","SPEI_48","8",2.37989774555235,5
"US-LA2","WUE_ET","SPEI_48","9",2.07076214202194,5
"US-LA2","WUE_ET","SPEI_48","10",2.05302817568769,5
"US-LA2","WUE_T","SPEI_48","3",1.92313476351382,2
"US-LA2","WUE_T","SPEI_48","4",4.64771633318819,4
"US-LA2","WUE_T","SPEI_48","5",4.70965049194991,4
"US-LA2","WUE_T","SPEI_48","6",4.45557480868645,4
"US-LA2","WUE_T","SPEI_48","7",5.55751057254505,4
"US-LA2","WUE_T","SPEI_48","8",4.26464058991842,5
"US-LA2","WUE_T","SPEI_48","9",3.29435255765712,5
"US-LA2","WUE_T","SPEI_48","10",3.90720742240332,5
"US-LA3","WUE_ET","SPEI_48","3",2.54620616142363,3
"US-LA3","WUE_ET","SPEI_48","4",2.26556771046111,3
"US-LA3","WUE_ET","SPEI_48","5",2.31060824717327,3
"US-LA3","WUE_ET","SPEI_48","6",2.36613748519054,4
"US-LA3","WUE_ET","SPEI_48","7",2.37596541783897,4
"US-LA3","WUE_ET","SPEI_48","8",2.49540761484504,3
"US-LA3","WUE_ET","SPEI_48","9",2.03273103334622,1
"US-LA3","WUE_ET","SPEI_48","10",1.76681616899471,1
"US-LA3","WUE_T","SPEI_48","3",5.33501757983963,3
"US-LA3","WUE_T","SPEI_48","4",4.07858513532113,3
"US-LA3","WUE_T","SPEI_48","5",4.08107956338784,3
"US-LA3","WUE_T","SPEI_48","6",4.27876586867356,4
"US-LA3","WUE_T","SPEI_48","7",4.91753518268543,4
"US-LA3","WUE_T","SPEI_48","8",4.26454475559629,3
"US-LA3","WUE_T","SPEI_48","9",4.31810137573226,1
"US-LA3","WUE_T","SPEI_48","10",5.78298810880976,1
"US-MCP","WUE_ET","SPEI_48","3",2.52767090292335,2
"US-MCP","WUE_ET","SPEI_48","4",3.1102864604257,2
"US-MCP","WUE_ET","SPEI_48","5",4.7047095200503,2
"US-MCP","WUE_ET","SPEI_48","6",4.75388487567538,3
"US-MCP","WUE_ET","SPEI_48","7",5.32389524436133,3
"US-MCP","WUE_ET","SPEI_48","8",4.46273598825727,3
"US-MCP","WUE_ET","SPEI_48","9",4.37624931831204,3
"US-MCP","WUE_T","SPEI_48","3",5.60444164057696,2
"US-MCP","WUE_T","SPEI_48","4",6.61749451317973,2
"US-MCP","WUE_T","SPEI_48","5",8.48328005059095,2
"US-MCP","WUE_T","SPEI_48","6",8.25800320623835,3
"US-MCP","WUE_T","SPEI_48","7",9.11762084067655,3
"US-MCP","WUE_T","SPEI_48","8",7.3956217043568,3
"US-MCP","WUE_T","SPEI_48","9",6.79258670856147,3
"US-MRf","WUE_ET","SPEI_48","3",5.91439135899709,4
"US-MRf","WUE_ET","SPEI_48","4",5.81661551578172,4
"US-MRf","WUE_ET","SPEI_48","5",6.38744792661628,5
"US-MRf","WUE_ET","SPEI_48","6",6.47162879223465,5
"US-MRf","WUE_ET","SPEI_48","7",5.00112941353447,5
"US-MRf","WUE_ET","SPEI_48","8",5.56989230002525,6
"US-MRf","WUE_ET","SPEI_48","9",4.4121385081938,5
"US-MRf","WUE_ET","SPEI_48","10",5.61773570898458,4
"US-MRf","WUE_T","SPEI_48","3",9.88881380838274,4
"US-MRf","WUE_T","SPEI_48","4",9.47830163410558,4
"US-MRf","WUE_T","SPEI_48","5",9.84730182769606,5
"US-MRf","WUE_T","SPEI_48","6",10.149931394285,5
"US-MRf","WUE_T","SPEI_48","7",6.93036214160543,5
"US-MRf","WUE_T","SPEI_48","8",8.2144238693028,6
"US-MRf","WUE_T","SPEI_48","9",7.42955123012441,5
"US-MRf","WUE_T","SPEI_48","10",9.29068630302089,4
"US-Myb","WUE_ET","SPEI_48","5",1.49024252540651,7
"US-Myb","WUE_ET","SPEI_48","6",1.68942123684195,7
"US-Myb","WUE_ET","SPEI_48","7",1.7259064081639,6
"US-Myb","WUE_ET","SPEI_48","8",1.72861881943644,6
"US-Myb","WUE_ET","SPEI_48","9",1.45651295936944,7
"US-Myb","WUE_ET","SPEI_48","10",1.33134316601123,7
"US-Myb","WUE_T","SPEI_48","5",2.47965682487749,7
"US-Myb","WUE_T","SPEI_48","6",2.58149204345068,7
"US-Myb","WUE_T","SPEI_48","7",2.53822725227502,6
"US-Myb","WUE_T","SPEI_48","8",2.6451226746057,6
"US-Myb","WUE_T","SPEI_48","9",2.54514784267579,7
"US-Myb","WUE_T","SPEI_48","10",2.61465770738012,7
"US-NC4","WUE_ET","SPEI_48","4",1.76599055034905,5
"US-NC4","WUE_ET","SPEI_48","5",2.44479886440467,4
"US-NC4","WUE_ET","SPEI_48","6",2.57552218382934,4
"US-NC4","WUE_ET","SPEI_48","7",2.17391065152186,5
"US-NC4","WUE_ET","SPEI_48","8",2.21990751219501,6
"US-NC4","WUE_ET","SPEI_48","9",1.82603447772885,6
"US-NC4","WUE_T","SPEI_48","4",2.916076976492,5
"US-NC4","WUE_T","SPEI_48","5",3.37974336708256,4
"US-NC4","WUE_T","SPEI_48","6",3.50931310401522,4
"US-NC4","WUE_T","SPEI_48","7",3.09197260729669,5
"US-NC4","WUE_T","SPEI_48","8",3.16500534230585,6
"US-NC4","WUE_T","SPEI_48","9",2.76649810095075,6
"US-NGC","WUE_ET","SPEI_48","5",2.04251152540733,1
"US-NGC","WUE_ET","SPEI_48","6",1.96996818512051,1
"US-NGC","WUE_ET","SPEI_48","7",2.88285879214208,1
"US-NGC","WUE_ET","SPEI_48","8",2.97211346635419,1
"US-NGC","WUE_T","SPEI_48","5",6.75354295066867,1
"US-NGC","WUE_T","SPEI_48","6",5.39872920827763,1
"US-NGC","WUE_T","SPEI_48","7",6.35452942554922,1
"US-NGC","WUE_T","SPEI_48","8",7.20732090412,1
"US-ONA","WUE_ET","SPEI_48","3",2.33279972104274,4
"US-ONA","WUE_ET","SPEI_48","4",2.08114421018057,5
"US-ONA","WUE_ET","SPEI_48","5",1.74770697497723,6
"US-ONA","WUE_ET","SPEI_48","6",1.72686292370227,6
"US-ONA","WUE_ET","SPEI_48","7",1.83952802982482,6
"US-ONA","WUE_ET","SPEI_48","8",1.83199808068711,6
"US-ONA","WUE_ET","SPEI_48","9",1.81272676361874,7
"US-ONA","WUE_T","SPEI_48","3",6.20809215163327,4
