"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","SPEI_1","WUE_difference","simple_gam_fitted","simple_gam_residual"
"US-Brw",1999,7,"Upland","WUE_ET_minus_WUE_T",0.687099319239596,0.767036664392199,-0.239693432655201,-0.621874454760573,-0.502302574885624,-0.119571879874949
"US-Brw",1999,8,"Upland","WUE_ET_minus_WUE_T",0.633276328486358,0.45698245437308,0.374147154836023,-1.3058575087229,-0.878545728500721,-0.427311780222179
"US-Brw",2000,8,"Upland","WUE_ET_minus_WUE_T",0.466175912363539,-0.505620827045459,0.404716342284351,-2.19343745061457,-2.31199801825509,0.11856056764052
"US-Brw",2001,6,"Upland","WUE_ET_minus_WUE_T",0.424520237725813,-0.745583659133842,-0.533936204446425,-0.423014668440315,-2.55225256867161,2.1292379002313
"US-Brw",2001,7,"Upland","WUE_ET_minus_WUE_T",0.611830499463529,0.333441018216854,-0.237776308118008,-1.0209179137239,-1.01610184654081,-0.00481606718309324
"US-Brw",2001,8,"Upland","WUE_ET_minus_WUE_T",0.637064981087044,0.478807471390963,0.741478936695866,-1.56536904253848,-0.850390201440836,-0.714978841097644
"US-Brw",2002,6,"Upland","WUE_ET_minus_WUE_T",0.268721878067357,-1.64308000131306,0.986834620089923,-1.20691250489715,-4.9484332696637,3.74152076476655
"US-Brw",2002,8,"Upland","WUE_ET_minus_WUE_T",0.582881115073662,0.166674393361474,0.980558558239053,-0.914977031566951,-1.30530519747283,0.39032816590588
"US-Brw",2003,7,"Upland","WUE_ET_minus_WUE_T",0.618456847707112,0.371612943284992,0.68288427411896,-0.977895815388837,-0.961335424411835,-0.0165603909770018
"US-Brw",2003,8,"Upland","WUE_ET_minus_WUE_T",0.558057460164428,0.0236745599267813,0.672647997101647,-1.59254266394651,-1.53706471652079,-0.0554779474257183
"US-Brw",2004,6,"Upland","WUE_ET_minus_WUE_T",0.35872146508439,-1.12462588971328,-0.0586613160670657,-1.33132770103273,-3.17402795433647,1.84270025330373
"US-Brw",2004,8,"Upland","WUE_ET_minus_WUE_T",0.424605947621433,-0.745089916337211,-0.358660946808893,-2.85089663201973,-2.6110321291364,-0.239864502883323
"US-Brw",2005,6,"Upland","WUE_ET_minus_WUE_T",0.813985677594134,1.49798173175549,-0.624501240103282,-0.0689553252914363,0.0907350080916824,-0.159690333383119
"US-Brw",2005,8,"Upland","WUE_ET_minus_WUE_T",0.595448783947438,0.239072054470744,0.462473996673154,-1.58442062175647,-1.19132944801184,-0.393091173744631
"US-Brw",2006,6,"Upland","WUE_ET_minus_WUE_T",0.440930084945738,-0.651052639116112,0.0399611107759245,-3.55097559196794,-2.43310580805024,-1.1178697839177
"US-BWb",2022,5,"Upland","WUE_ET_minus_WUE_T",0.545474371972362,-0.0488119261341453,0.619044669156131,-3.81018094828225,-2.19619784864875,-1.6139830996335
"US-BWb",2022,7,"Upland","WUE_ET_minus_WUE_T",0.453197500559749,-0.580384625244185,0.161514104893223,-2.36010939052251,-2.9316980613934,0.571588670870884
"US-BWb",2022,8,"Upland","WUE_ET_minus_WUE_T",0.589940733965301,0.207342229315041,-0.723519339034995,-1.6052034871657,-1.80059169858229,0.195388211416594
"US-BWb",2022,9,"Upland","WUE_ET_minus_WUE_T",0.589016000730925,0.202015185454222,-0.326251664198919,-1.18261550337191,-1.7845314559113,0.601915952539386
"US-BWb",2023,4,"Upland","WUE_ET_minus_WUE_T",0.51865320160882,-0.203318702373737,-0.448433922093017,-2.34018117921916,-2.4333585991054,0.0931774198862398
"US-BWb",2023,6,"Upland","WUE_ET_minus_WUE_T",0.398642535633576,-0.894655465940413,-0.653633181469406,-2.90699012362906,-3.31810568227954,0.411115558650486
"US-BWb",2023,7,"Upland","WUE_ET_minus_WUE_T",0.592856604180637,0.224139471970679,-0.270066082733114,-2.05942121468746,-1.74102841875557,-0.318392795931886
"US-CAK",2025,4,"Upland","WUE_ET_minus_WUE_T",0.289392811794131,-1.52400244844358,-0.119352178793491,-0.462202356009912,-4.30456683398438,3.84236447797447
"US-CAK",2025,6,"Upland","WUE_ET_minus_WUE_T",0.78859792053832,1.35173231588437,0.945006341605289,-0.529431520176538,0.131447144201625,-0.660878664378163
"US-CAK",2025,7,"Upland","WUE_ET_minus_WUE_T",0.456217342467803,-0.562988440378185,-0.0732813578408601,-3.5225051294447,-2.20217645439259,-1.32032867505211
"US-Ced",2005,7,"Upland","WUE_ET_minus_WUE_T",0.802228998179999,1.43025587897057,-0.591665886388359,-0.540400972343352,-0.568710290525099,0.0283093181817478
"US-Ced",2006,4,"Upland","WUE_ET_minus_WUE_T",0.605479875964593,0.296857440743076,-0.204298604897227,-1.25295265246155,-1.66396090441277,0.411008251951227
"US-Ced",2006,5,"Upland","WUE_ET_minus_WUE_T",0.754466540884372,1.15511414570529,-0.884822224149705,-0.609657331911531,-0.78638285407816,0.176725522166629
"US-Ced",2006,6,"Upland","WUE_ET_minus_WUE_T",0.788444298384698,1.35084735585491,0.833965163124888,-0.741342057999032,-0.600890181891148,-0.140451876107884
"US-Ced",2006,7,"Upland","WUE_ET_minus_WUE_T",0.813131596247967,1.4930616871171,-0.015053913513524,-0.578214759924371,-0.522503822427847,-0.0557109374965243
"US-Ced",2006,10,"Upland","WUE_ET_minus_WUE_T",0.621776539400409,0.390736451121843,0.704216657345518,-1.34283459518916,-1.52887693664302,0.186042341453859
"US-Ced",2007,6,"Upland","WUE_ET_minus_WUE_T",0.750277292930015,1.13098144800706,0.890175284623497,-0.840208099267671,-0.763122755150943,-0.0770853441167283
"US-Ced",2007,7,"Upland","WUE_ET_minus_WUE_T",0.754290792064341,1.15410172218898,0.193986166062214,-0.729061606289943,-0.772040443207253,0.0429788369173103
"US-Ced",2007,8,"Upland","WUE_ET_minus_WUE_T",0.790749626016849,1.36412749000983,0.0726167385885286,-0.693481299596633,-0.650555448619727,-0.0429258509769062
"US-Ced",2008,5,"Upland","WUE_ET_minus_WUE_T",0.545645680845991,-0.0478250794959486,0.752124046681053,-1.58735021076321,-2.21831179915253,0.630961588389324
"US-Ced",2008,6,"Upland","WUE_ET_minus_WUE_T",0.65008427316488,0.553806765627668,-0.575440663887446,-1.0838804887655,-1.28252202851377,0.19864153974827
"US-Ced",2008,7,"Upland","WUE_ET_minus_WUE_T",0.735709197230936,1.04706007276856,-0.47638393216528,-0.909684084849345,-0.852696549501589,-0.0569875353477558
"US-Ced",2008,8,"Upland","WUE_ET_minus_WUE_T",0.655205093202905,0.583305903251202,-0.997063882680206,-1.3021751142994,-1.30783175671347,0.00565664241406427
"US-Ced",2008,10,"Upland","WUE_ET_minus_WUE_T",0.820288394469581,1.53428933700824,-0.924418525354317,-0.555826137007399,-0.503010762157976,-0.0528153748494229
"US-Ced",2009,5,"Upland","WUE_ET_minus_WUE_T",0.698616564305052,0.833383225042064,0.563202137019947,-0.954379095711968,-1.04109991562915,0.0867208199171845
"US-Ced",2009,7,"Upland","WUE_ET_minus_WUE_T",0.843705803333667,1.66918831055909,0.317648597055317,-0.419659061854602,-0.392624946885546,-0.0270341149690565
"US-Ced",2009,9,"Upland","WUE_ET_minus_WUE_T",0.795449747728448,1.39120314121183,0.51220230219816,-0.719118228122845,-0.606224575688103,-0.112893652434743
"US-Ced",2009,10,"Upland","WUE_ET_minus_WUE_T",0.720191780237203,0.957670011008755,0.893124018558542,-1.0125235144809,-0.933359827562446,-0.0791636869184509
"US-Ced",2010,5,"Upland","WUE_ET_minus_WUE_T",0.736102375035927,1.04932502371271,-0.209649778841126,-0.88569326152959,-0.866058722219337,-0.0196345393102524
"US-Ced",2010,10,"Upland","WUE_ET_minus_WUE_T",0.763110888460759,1.20491101357566,0.58478602238873,-0.828736951617519,-0.745256142171512,-0.0834808094460073
"US-Ced",2011,7,"Upland","WUE_ET_minus_WUE_T",0.785148757325337,1.33186297082825,-0.522902270645475,-0.683840709309524,-0.640986904648067,-0.0428538046614562
