site_name,Year,month,salinity
US-TaS,2016,7,11.225000000000001
US-TaS,2016,8,11.278571428571428
US-TaS,2017,5,36.221428571428575
US-TaS,2017,6,34.18333333333333
US-TaS,2017,7,23.353846153846156
US-TaS,2017,8,18.849999999999998
US-TaS,2018,5,26.014285714285712
US-TaS,2018,6,17.141666666666666
US-TaS,2018,7,9.083333333333334
US-TaS,2018,8,9.669230769230769
US-TaS,2019,5,32.58461538461539
US-TaS,2019,6,35.516666666666666
US-TaS,2019,7,31.15833333333333
US-TaS,2019,8,25.164285714285715
US-TaS,2020,5,38.330769230769235
US-TaS,2020,6,29.983333333333334
US-TaS,2020,7,22.36923076923077
US-TaS,2020,8,14.646153846153847
US-TaS,2021,5,19.083333333333332
US-TaS,2021,6,23.963636363636365
US-TaS,2021,7,24.685714285714287
US-TaS,2021,8,17.691666666666666
US-TaS,2022,5,28.299999999999997
US-TaS,2022,6,11.491666666666667
US-TaS,2022,7,8.353846153846154
US-TaS,2022,8,18.572727272727274
US-TaS,2023,5,27.153846153846153
US-TaS,2023,6,18.366666666666667
US-TaS,2023,7,6.815384615384615
US-TaS,2023,8,9.7
US-TaS,2024,5,16.9
US-TaS,2024,6,22.1
US-TaS,2024,7,19.3
US-TaS,2024,8,23.85
US-StJ,1995,7,21.580645161290324
US-StJ,1995,8,21.448275862068964
US-StJ,1996,5,5.796296296296297
US-StJ,1996,6,4.628571428571428
US-StJ,1996,7,7.729032258064516
US-StJ,1996,8,9.0
US-StJ,1997,5,6.22258064516129
US-StJ,1997,6,10.25
US-StJ,1997,7,13.64516129032258
US-StJ,1997,8,12.319354838709677
US-StJ,1998,5,8.329032258064515
US-StJ,1998,6,11.44
US-StJ,1998,7,14.0
US-StJ,1998,8,13.393548387096773
US-StJ,1999,5,15.555555555555555
US-StJ,1999,6,17.681818181818183
US-StJ,1999,7,19.61935483870968
US-StJ,1999,8,23.032258064516128
US-StJ,2000,5,11.403225806451612
US-StJ,2000,6,11.92
US-StJ,2000,7,14.193548387096774
US-StJ,2000,8,15.5
US-StJ,2001,5,11.438709677419356
US-StJ,2001,6,6.863333333333333
US-StJ,2001,7,12.19032258064516
US-StJ,2001,8,14.674193548387096
US-StJ,2002,5,9.66451612903226
US-StJ,2002,6,15.44
US-StJ,2002,7,19.64516129032258
US-StJ,2002,8,23.419354838709676
US-StJ,2003,5,7.945161290322581
US-StJ,2003,6,5.3133333333333335
US-StJ,2003,7,6.645161290322581
US-StJ,2003,8,8.829032258064515
US-StJ,2004,5,11.2
US-StJ,2004,6,11.293333333333333
US-StJ,2004,7,11.574193548387097
US-StJ,2004,8,12.541935483870969
US-StJ,2005,5,9.625806451612902
US-StJ,2005,6,11.323333333333332
US-StJ,2005,7,12.63225806451613
US-StJ,2005,8,15.416129032258064
US-StJ,2006,5,16.161290322580644
US-StJ,2006,6,12.93
US-StJ,2006,7,8.325806451612904
US-StJ,2006,8,18.548387096774192
US-StJ,2007,5,9.770967741935483
US-StJ,2007,6,15.1
US-StJ,2007,7,17.033333333333335
US-StJ,2007,8,20.129032258064516
US-StJ,2008,5,10.438709677419356
US-StJ,2008,6,13.983333333333333
US-StJ,2008,7,17.870967741935484
US-StJ,2008,8,22.451612903225808
US-StJ,2009,5,9.770967741935483
US-StJ,2009,6,11.223333333333333
US-StJ,2009,7,16.29032258064516
US-StJ,2009,8,12.922580645161291
US-StJ,2010,5,9.841935483870968
US-StJ,2010,6,17.0
US-StJ,2010,7,15.806451612903226
US-StJ,2010,8,18.741935483870968
US-StJ,2011,5,12.3
US-StJ,2011,6,16.933333333333334
US-StJ,2011,7,17.419354838709676
US-StJ,2011,8,14.619354838709677
US-StJ,2012,5,14.391304347826088
US-StJ,2012,6,18.033333333333335
US-StJ,2012,7,20.032258064516128
US-StJ,2012,8,21.677419354838708
US-StJ,2013,5,10.480645161290322
US-StJ,2013,6,8.146666666666667
US-StJ,2013,7,9.587096774193547
US-StJ,2013,8,12.680645161290323
US-StJ,2014,5,7.803225806451613
US-StJ,2014,6,12.26
US-StJ,2014,7,14.125806451612902
US-StJ,2014,8,16.0
US-StJ,2015,5,9.990322580645161
US-StJ,2015,6,9.616666666666667
US-StJ,2015,7,16.483870967741936
US-StJ,2015,8,16.161290322580644
US-StJ,2016,5,8.574193548387097
US-StJ,2016,6,12.526666666666667
US-StJ,2016,7,13.716129032258063
US-StJ,2016,8,17.161290322580644
US-StJ,2017,5,10.14516129032258
US-StJ,2017,6,12.99
US-StJ,2017,7,16.129032258064516
US-StJ,2017,8,8.519354838709678
US-StJ,2018,5,7.135483870967741
US-StJ,2018,6,8.396666666666667
US-StJ,2018,7,13.074193548387097
US-StJ,2018,8,12.04516129032258
US-StJ,2019,5,7.66774193548387
US-StJ,2019,6,8.68
US-StJ,2019,7,12.16451612903226
US-StJ,2019,8,17.774193548387096
US-StJ,2020,5,8.787096774193548
US-StJ,2020,6,15.5
US-StJ,2020,7,19.419354838709676
US-StJ,2020,8,9.290322580645162
US-StJ,2021,5,14.096551724137932
US-StJ,2021,6,14.626666666666667
US-StJ,2021,7,17.30322580645161
US-StJ,2021,8,16.425
US-StJ,2022,5,12.964516129032257
US-StJ,2022,6,18.033333333333335
US-StJ,2022,7,17.56451612903226
US-StJ,2022,8,22.033333333333335
US-StJ,2023,5,13.04516129032258
US-StJ,2023,6,19.066666666666666
US-StJ,2023,7,17.448387096774194
US-StJ,2023,8,20.096774193548388
US-Skr,1993,5,29.5
US-Skr,1993,6,20.6
US-Skr,1993,7,24.3
US-Skr,1993,8,25.3
US-Skr,1994,5,32.05
US-Skr,1994,6,32.25
US-Skr,1994,7,33.45
US-Skr,1994,8,33.95
US-Skr,1995,5,21.7
US-Skr,1995,6,18.25
US-Skr,1995,7,16.8
US-Skr,1995,8,15.8
US-Skr,1996,5,28.629032258064516
US-Skr,1996,6,24.86774193548387
US-Skr,1996,7,21.815625
US-Skr,1996,8,25.8078125
US-Skr,1997,5,33.45625
US-Skr,1997,6,19.35483870967742
US-Skr,1997,7,19.967741935483872
US-Skr,1997,8,24.80625
US-Skr,1998,5,27.164285714285715
US-Skr,1998,6,27.26521739130435
US-Skr,1998,7,26.165625
US-Skr,1998,8,23.0875
US-Skr,1999,5,30.834375
US-Skr,1999,6,26.48225806451613
US-Skr,1999,7,23.546875
US-Skr,1999,8,23.6453125
US-Skr,2000,5,30.4921875
US-Skr,2000,6,28.561290322580643
US-Skr,2000,7,29.6421875
US-Skr,2000,8,26.4859375
US-Skr,2001,5,33.88139534883721
US-Skr,2001,6,31.99204545454546
US-Skr,2001,7,31.04186046511628
US-Skr,2001,8,22.86627906976744
US-Skr,2002,5,31.048863636363638
US-Skr,2002,6,22.905952380952378
US-Skr,2002,7,17.523863636363636
US-Skr,2002,8,20.779761904761905
US-Skr,2003,5,27.527272727272727
US-Skr,2003,6,21.39761904761905
US-Skr,2003,7,23.585227272727273
US-Skr,2003,8,22.519767441860466
US-Skr,2004,5,31.748837209302327
US-Skr,2004,6,33.80357142857143
US-Skr,2004,7,29.429069767441863
US-Skr,2004,8,22.3
US-Skr,2005,5,32.10232558139535
US-Skr,2005,6,27.2609756097561
US-Skr,2005,7,23.376744186046512
US-Skr,2005,8,19.714634146341464
US-Skr,2006,5,31.333333333333332
US-Skr,2006,6,26.360000000000003
US-Skr,2006,7,18.29047619047619
US-Skr,2006,8,21.370731707317074
US-Skr,2007,5,31.987954545454546
US-Skr,2007,6,28.24607142857143
US-Skr,2007,7,26.17761363636364
US-Skr,2007,8,26.088863636363637
US-Skr,2008,5,35.03409090909091
US-Skr,2008,6,32.66135135135135
US-Skr,2008,7,28.80731707317073
US-Skr,2008,8,25.609302325581396
US-Skr,2009,5,37.14418604651163
US-Skr,2009,6,29.66046511627907
US-Skr,2009,7,22.669767441860465
US-Skr,2009,8,24.604545454545452
US-Skr,2010,5,30.979069767441857
US-Skr,2010,6,30.514285714285712
US-Skr,2010,7,28.186363636363637
US-Skr,2010,8,25.679069767441863
US-Skr,2011,5,35.434090909090905
US-Skr,2011,6,36.05238095238095
US-Skr,2011,7,31.91818181818182
US-Skr,2011,8,30.13181818181818
US-Skr,2012,5,29.813953488372093
US-Skr,2012,6,26.47142857142857
US-Skr,2012,7,23.38139534883721
US-Skr,2012,8,23.78684210526316
US-Skr,2013,5,29.66046511627907
US-Skr,2013,6,21.33953488372093
US-Skr,2013,7,21.05952380952381
US-Skr,2013,8,23.304651162790698
US-Skr,2014,5,34.246511627906976
US-Skr,2014,6,30.87142857142857
US-Skr,2014,7,24.542424242424243
US-Skr,2014,8,25.39032258064516
US-Skr,2015,5,31.741860465116282
US-Skr,2015,6,31.400000000000002
US-Skr,2015,7,32.07142857142857
US-Skr,2015,8,31.657142857142855
US-Skr,2016,5,28.776190476190475
US-Skr,2016,6,25.90952380952381
US-Skr,2016,7,24.548837209302324
US-Skr,2016,8,25.82045454545454
US-Skr,2017,5,34.623255813953485
US-Skr,2017,6,30.653658536585365
US-Skr,2017,7,26.63181818181818
US-Skr,2017,8,23.41818181818182
US-Skr,2018,5,29.613953488372093
US-Skr,2018,6,22.685714285714283
US-Skr,2018,7,20.646511627906975
US-Skr,2018,8,25.004761904761907
US-Skr,2019,5,31.326190476190476
US-Skr,2019,6,30.79285714285714
US-Skr,2019,7,27.943181818181817
US-Skr,2019,8,25.64883720930233
US-Skr,2020,5,32.579069767441865
US-Skr,2020,6,30.669767441860465
US-Skr,2020,7,27.635714285714286
US-Skr,2020,8,25.229545454545452
US-Skr,2021,5,31.320930232558137
US-Skr,2021,6,33.15714285714286
US-Skr,2021,7,30.130232558139532
US-Skr,2021,8,30.49090909090909
US-Skr,2022,5,34.24545454545454
US-Skr,2022,6,25.66923076923077
US-Skr,2022,7,25.526190476190475
US-Skr,2022,8,30.91860465116279
US-Skr,2023,5,33.448837209302326
US-Skr,2023,6,29.26904761904762
US-Skr,2023,7,26.861904761904764
US-Skr,2023,8,29.165116279069764
US-Skr,2024,5,30.5
US-Skr,2024,7,30.7
