"site_name","timescale","metric","month_f","baseline_mean","baseline_median","baseline_n"
"US-Esm","SPEI_6","WUE_ET","5",0.252022476802633,0.283844893687799,7
"US-Esm","SPEI_6","WUE_ET","6",0.169777039653047,0.161121602217016,5
"US-Esm","SPEI_6","WUE_T","1",0.124959472830656,0.0957641987981634,3
"US-Esm","SPEI_6","WUE_T","2",1.25277536989408,1.31387543779004,3
"US-Esm","SPEI_6","WUE_T","3",0.943298549930011,1.0146189110738,5
"US-Esm","SPEI_6","WUE_T","4",1.30073000872544,1.61069661954496,5
"US-Esm","SPEI_6","WUE_T","5",1.0314337658799,1.15354612354046,7
"US-Esm","SPEI_6","WUE_T","6",0.816373455696749,0.505523300063053,5
"US-Esm","SPEI_48","WUE_ET","1",0.142522030682911,0.142522030682911,2
"US-Esm","SPEI_48","WUE_ET","2",0.352031554246627,0.351127300749267,4
"US-Esm","SPEI_48","WUE_ET","3",0.303761914008238,0.33973318153857,4
"US-Esm","SPEI_48","WUE_ET","4",0.167583333115481,0.191107361949191,3
"US-Esm","SPEI_48","WUE_ET","5",0.25189866145227,0.261938624511911,4
"US-Esm","SPEI_48","WUE_ET","6",0.121189186430629,0.125303553150363,4
"US-Esm","SPEI_48","WUE_T","1",1.09376762415149,1.09376762415149,2
"US-Esm","SPEI_48","WUE_T","2",1.5125620937135,1.47640276305214,4
"US-Esm","SPEI_48","WUE_T","3",0.782364507742893,0.764413251630351,4
"US-Esm","SPEI_48","WUE_T","4",0.470477607856345,0.41810584391651,3
"US-Esm","SPEI_48","WUE_T","5",0.863263177228969,0.74697176998364,4
"US-Esm","SPEI_48","WUE_T","6",0.435262544581752,0.358408287228561,4
"US-Fo1","SPEI_6","WUE_ET","6",2.20476892538844,2.20476892538844,1
"US-Fo1","SPEI_6","WUE_ET","8",9.89405122092756,9.89405122092756,1
"US-Fo1","SPEI_6","WUE_T","6",6.99063852585154,6.99063852585154,1
"US-Fo1","SPEI_6","WUE_T","8",42.7456945105646,42.7456945105646,1
"US-Fo1","SPEI_48","WUE_ET","6",2.47977149988446,2.47977149988446,1
"US-Fo1","SPEI_48","WUE_ET","7",5.73453052597967,5.73453052597967,1
"US-Fo1","SPEI_48","WUE_ET","8",7.5810391095704,7.5810391095704,2
"US-Fo1","SPEI_48","WUE_T","6",3.83916790811181,3.83916790811181,1
"US-Fo1","SPEI_48","WUE_T","7",18.9663501300236,18.9663501300236,1
"US-Fo1","SPEI_48","WUE_T","8",28.4501756240376,28.4501756240376,2
"US-Fo2","SPEI_6","WUE_ET","6",1.73606533726496,1.73606533726496,1
"US-Fo2","SPEI_6","WUE_T","6",4.12110112337584,4.12110112337584,1
"US-GCE","SPEI_6","WUE_ET","2",0.610952578225387,0.729398648035499,3
"US-GCE","SPEI_6","WUE_ET","3",0.658102037264876,0.638067828432963,3
"US-GCE","SPEI_6","WUE_ET","4",0.922094852964717,0.930525062370661,3
"US-GCE","SPEI_6","WUE_ET","5",0.701159495478363,0.71625896891532,3
"US-GCE","SPEI_6","WUE_ET","6",0.802718575959126,0.802718575959126,2
"US-GCE","SPEI_6","WUE_ET","7",0.832109101732702,0.832109101732702,2
"US-GCE","SPEI_6","WUE_ET","8",0.584667333514157,0.572826580793027,3
"US-GCE","SPEI_6","WUE_ET","9",0.702641817984626,0.758623010474137,3
"US-GCE","SPEI_6","WUE_ET","10",0.41294585307787,0.41294585307787,2
"US-GCE","SPEI_6","WUE_T","2",1.2969657149168,1.37093020031467,3
"US-GCE","SPEI_6","WUE_T","3",1.29540626479944,1.25085108626458,3
"US-GCE","SPEI_6","WUE_T","4",1.37806922775017,1.43526478564505,3
"US-GCE","SPEI_6","WUE_T","5",1.02842130323242,1.00085799102366,3
"US-GCE","SPEI_6","WUE_T","6",1.17870570460477,1.17870570460477,2
"US-GCE","SPEI_6","WUE_T","7",1.44514185894211,1.44514185894211,2
"US-GCE","SPEI_6","WUE_T","8",0.965126484573925,0.961946269787115,3
"US-GCE","SPEI_6","WUE_T","9",1.14808133170412,1.2836940588376,3
"US-GCE","SPEI_6","WUE_T","10",0.654323520488215,0.654323520488215,2
"US-GCE","SPEI_48","WUE_ET","2",0.80099182410913,0.80099182410913,2
"US-GCE","SPEI_48","WUE_ET","3",0.668119141680832,0.668119141680832,2
"US-GCE","SPEI_48","WUE_ET","4",0.866407997604641,0.930525062370661,3
"US-GCE","SPEI_48","WUE_ET","5",0.69216121804641,0.69216121804641,2
"US-GCE","SPEI_48","WUE_ET","6",0.919057632369836,0.919057632369836,1
"US-GCE","SPEI_48","WUE_ET","7",1.0881199898524,1.0881199898524,1
"US-GCE","SPEI_48","WUE_ET","8",0.590587709874722,0.590587709874722,2
