"site_name","Year","month","water_class","timescale","anomaly_class","SPEI_value","metric","WUE_value","baseline_mean","WUE_response","WUE_response_magnitude","response_direction","wue_fitted","wue_residual"
"US-Myb",2015,6,"Freshwater","SPEI_6","Dry",-1.12239695174513,"WUE_ET",1.50322881336484,1.6048996094014,-0.101670796036564,0.101670796036564,"Decrease",1.60019845419448,-0.0969696408296385
"US-Myb",2015,7,"Freshwater","SPEI_6","Near-normal",-0.654980670401883,"WUE_ET",1.38223863722832,1.57940506935218,-0.197166432123861,0.197166432123861,"Decrease",1.65081199220595,-0.268573354977631
"US-Myb",2015,8,"Freshwater","SPEI_6","Near-normal",-0.6176362519485,"WUE_ET",1.48162462922152,1.64649404108996,-0.16486941186844,0.16486941186844,"Decrease",1.84547165775964,-0.363847028538117
"US-Myb",2015,9,"Freshwater","SPEI_6","Near-normal",-0.0438618841328797,"WUE_ET",1.34330475362506,1.51487877576706,-0.171574022142002,0.171574022142002,"Decrease",1.86012399234783,-0.516819238722772
"US-Myb",2015,10,"Freshwater","SPEI_6","Near-normal",-0.161002309663283,"WUE_ET",1.10907640832848,1.39857808178219,-0.289501673453717,0.289501673453717,"Decrease",2.04047032430768,-0.931393915979201
"US-Myb",2016,5,"Freshwater","SPEI_6","Wet",1.12516047200078,"WUE_ET",1.26870751885897,1.62975574812013,-0.361048229261162,0.361048229261162,"Decrease",1.4030110176962,-0.13430349883723
"US-Myb",2016,6,"Freshwater","SPEI_6","Near-normal",0.984580814548442,"WUE_ET",1.19984981419822,1.6048996094014,-0.405049795203184,0.405049795203184,"Decrease",1.65099234911993,-0.451142534921714
"US-Myb",2016,7,"Freshwater","SPEI_6","Near-normal",0.601719260382123,"WUE_ET",0.965276629288928,1.57940506935218,-0.614128440063251,0.614128440063251,"Decrease",1.86132757669942,-0.896050947410487
"US-Myb",2016,8,"Freshwater","SPEI_6","Wet",1.11325558759417,"WUE_ET",1.17053614606007,1.64649404108996,-0.475957895029888,0.475957895029888,"Decrease",1.71479098750941,-0.544254841449336
"US-Myb",2016,9,"Freshwater","SPEI_6","Near-normal",0.16484193452361,"WUE_ET",1.02374875484131,1.51487877576706,-0.491130020925746,0.491130020925746,"Decrease",1.88602274105404,-0.862273986212728
"US-Myb",2016,10,"Freshwater","SPEI_6","Wet",1.61872745236379,"WUE_ET",0.823101672776951,1.39857808178219,-0.575476409005242,0.575476409005242,"Decrease",1.82773166757497,-1.00462999479801
"US-Myb",2017,5,"Freshwater","SPEI_6","Wet",1.80752528316877,"WUE_ET",1.5486005777622,1.62975574812013,-0.0811551703579314,0.0811551703579314,"Decrease",1.32869892984467,0.219901647917529
"US-Myb",2017,6,"Freshwater","SPEI_6","Wet",1.81284171544333,"WUE_ET",1.12621966809918,1.6048996094014,-0.478679941302223,0.478679941302223,"Decrease",1.27924080354087,-0.153021135441688
"US-Myb",2017,7,"Freshwater","SPEI_6","Wet",1.66866557768872,"WUE_ET",0.836102806759667,1.57940506935218,-0.743302262592511,0.743302262592511,"Decrease",1.75724230620146,-0.921139499441794
"US-Myb",2017,8,"Freshwater","SPEI_6","Near-normal",0.973246809282142,"WUE_ET",1.39634604893251,1.64649404108996,-0.250147992157453,0.250147992157453,"Decrease",1.85311422063498,-0.456768171702472
"US-Myb",2017,9,"Freshwater","SPEI_6","Wet",1.06563524789692,"WUE_ET",1.81311748550958,1.51487877576706,0.298238709742519,0.298238709742519,"Increase_or_no_decrease",1.37766942094573,0.43544806456385
"US-Myb",2017,10,"Freshwater","SPEI_6","Near-normal",-0.363908259616675,"WUE_ET",1.2488001077501,1.39857808178219,-0.149777974032091,0.149777974032091,"Decrease",1.94784767831345,-0.699047570563343
"US-Myb",2018,5,"Freshwater","SPEI_6","Near-normal",0.348343346191897,"WUE_ET",1.76296395231731,1.62975574812013,0.13320820419718,0.13320820419718,"Increase_or_no_decrease",1.47031034087798,0.292653611439337
"US-Myb",2018,6,"Freshwater","SPEI_6","Near-normal",0.720731329194754,"WUE_ET",1.622307997968,1.6048996094014,0.0174083885666005,0.0174083885666005,"Increase_or_no_decrease",1.32582073576828,0.296487262199725
"US-Myb",2018,7,"Freshwater","SPEI_6","Near-normal",0.47869912330637,"WUE_ET",1.77512783810187,1.57940506935218,0.195722768749693,0.195722768749693,"Increase_or_no_decrease",1.37515232745895,0.399975510642921
"US-Myb",2018,8,"Freshwater","SPEI_6","Wet",1.09490078697146,"WUE_ET",2.11559618475409,1.64649404108996,0.469102143664132,0.469102143664132,"Increase_or_no_decrease",1.17060072661989,0.944995458134204
"US-Myb",2018,9,"Freshwater","SPEI_6","Near-normal",0.853131717065664,"WUE_ET",1.84486939452157,1.51487877576706,0.329990618754506,0.329990618754506,"Increase_or_no_decrease",1.50927632137847,0.3355930731431
"US-Myb",2018,10,"Freshwater","SPEI_6","Near-normal",-0.0999705186311592,"WUE_ET",1.4724963824471,1.39857808178219,0.0739183006649062,0.0739183006649062,"Increase_or_no_decrease",1.91738602592035,-0.444889643473248
"US-Myb",2019,5,"Freshwater","SPEI_6","Wet",1.54465349076464,"WUE_ET",2.23399648411173,1.62975574812013,0.604240735991592,0.604240735991592,"Increase_or_no_decrease",1.13417648513633,1.0998199989754
"US-Myb",2019,6,"Freshwater","SPEI_6","Wet",1.62946607868673,"WUE_ET",1.73086219361166,1.6048996094014,0.125962584210253,0.125962584210253,"Increase_or_no_decrease",1.03525706118982,0.695605132421831
"US-Myb",2019,7,"Freshwater","SPEI_6","Wet",1.91308753264729,"WUE_ET",1.74112895087069,1.57940506935218,0.161723881518512,0.161723881518512,"Increase_or_no_decrease",1.07054343047713,0.670585520393562
"US-Myb",2019,8,"Freshwater","SPEI_6","Wet",1.30520611050915,"WUE_ET",1.68585938492327,1.64649404108996,0.0393653438333117,0.0393653438333117,"Increase_or_no_decrease",1.29313740956391,0.392721975359359
"US-Myb",2019,9,"Freshwater","SPEI_6","Wet",1.43375516496499,"WUE_ET",1.57528762740928,1.51487877576706,0.0604088516422239,0.0604088516422239,"Increase_or_no_decrease",1.38549360207195,0.189794025337333
"US-Myb",2019,10,"Freshwater","SPEI_6","Wet",1.15116433496116,"WUE_ET",1.11555429035347,1.39857808178219,-0.283023791428727,0.283023791428727,"Decrease",1.85670944855431,-0.741155158200843
"US-Myb",2020,5,"Freshwater","SPEI_6","Near-normal",-0.200989512770786,"WUE_ET",1.3947432200901,1.62975574812013,-0.235012528030033,0.235012528030033,"Decrease",1.97302530488616,-0.578282084796063
"US-Myb",2020,6,"Freshwater","SPEI_6","Dry",-1.10482847420127,"WUE_ET",1.73937879433327,1.6048996094014,0.134479184931864,0.134479184931864,"Increase_or_no_decrease",1.56362649255062,0.175752301782646
"US-Myb",2020,7,"Freshwater","SPEI_6","Dry",-1.25171162754668,"WUE_ET",1.92700907571704,1.57940506935218,0.347604006364862,0.347604006364862,"Increase_or_no_decrease",1.61382682548445,0.313182250232593
"US-Myb",2020,8,"Freshwater","SPEI_6","Near-normal",-0.742248204801831,"WUE_ET",1.85326405013525,1.64649404108996,0.206770009045292,0.206770009045292,"Increase_or_no_decrease",1.69880454543536,0.154459504699898
"US-Myb",2020,9,"Freshwater","SPEI_6","Dry",-1.11045887564795,"WUE_ET",2.04022125517742,1.51487877576706,0.525342479410363,0.525342479410363,"Increase_or_no_decrease",1.67992876866945,0.360292486507968
"US-Myb",2021,5,"Freshwater","SPEI_6","Dry",-1.64792377088173,"WUE_ET",1.27650143312608,1.62975574812013,-0.353254314994056,0.353254314994056,"Decrease",2.06206444340723,-0.785563010281152
"US-Myb",2021,6,"Freshwater","SPEI_6","Dry",-1.24483450656378,"WUE_ET",1.87790429321895,1.6048996094014,0.273004683817545,0.273004683817545,"Increase_or_no_decrease",1.28882872493062,0.589075568288331
"US-Myb",2021,7,"Freshwater","SPEI_6","Dry",-1.66965979121484,"WUE_ET",2.05641310645472,1.57940506935218,0.477008037102539,0.477008037102539,"Increase_or_no_decrease",1.41878878793402,0.637624318520698
"US-Myb",2021,8,"Freshwater","SPEI_6","Dry",-1.46924321926003,"WUE_ET",2.03154306842549,1.64649404108996,0.38504902733553,0.38504902733553,"Increase_or_no_decrease",1.67472645813089,0.356816610294605
"US-Myb",2021,9,"Freshwater","SPEI_6","Dry",-1.8917209741692,"WUE_ET",1.66516986959334,1.51487877576706,0.150291093826284,0.150291093826284,"Increase_or_no_decrease",1.67484633889857,-0.00967646930522781
"US-Myb",2021,10,"Freshwater","SPEI_6","Wet",1.58641458710088,"WUE_ET",1.15495306945423,1.39857808178219,-0.243625012327959,0.243625012327959,"Decrease",1.96205566641423,-0.807102596959993
"US-Myb",2022,5,"Freshwater","SPEI_6","Near-normal",-0.421763483046465,"WUE_ET",1.72810032746228,1.62975574812013,0.0983445793421447,0.0983445793421447,"Increase_or_no_decrease",1.63429679780219,0.0938035296600837
"US-Myb",2022,6,"Freshwater","SPEI_6","Dry",-1.86698588500062,"WUE_ET",1.8006793156983,1.6048996094014,0.195779706296899,0.195779706296899,"Increase_or_no_decrease",1.34224934828955,0.458429967408749
