"site_name","water_class","coast_region","SPEI_timescale","month_f","baseline_WUE_T","baseline_sd_WUE_T","baseline_n"
"US-Ced","Upland","Atlantic Coast","SPEI_24","10",3.43683692558111,0.615712645531017,7
"US-Ced","Upland","Atlantic Coast","SPEI_36","4",3.47039503016607,0.484823787837741,5
"US-Ced","Upland","Atlantic Coast","SPEI_36","5",3.11540864243315,0.404922256321188,6
"US-Ced","Upland","Atlantic Coast","SPEI_36","6",3.38339656383741,0.625480538960635,8
"US-Ced","Upland","Atlantic Coast","SPEI_36","7",2.97663221905091,0.239950245549542,9
"US-Ced","Upland","Atlantic Coast","SPEI_36","8",3.16347184734427,0.651857869508568,8
"US-Ced","Upland","Atlantic Coast","SPEI_36","9",3.02587626492582,0.428658904811958,6
"US-Ced","Upland","Atlantic Coast","SPEI_36","10",3.47771620794727,0.607765431310258,7
"US-Ced","Upland","Atlantic Coast","SPEI_48","4",3.43247682090979,0.551198877946752,4
"US-Ced","Upland","Atlantic Coast","SPEI_48","5",3.03976246459381,0.402535663534978,5
"US-Ced","Upland","Atlantic Coast","SPEI_48","6",3.43423322340036,0.615374429308722,8
"US-Ced","Upland","Atlantic Coast","SPEI_48","7",2.9513844097803,0.160226018448927,8
"US-Ced","Upland","Atlantic Coast","SPEI_48","8",3.12088675674293,0.53486938689821,8
"US-Ced","Upland","Atlantic Coast","SPEI_48","9",3.28307723906628,0.521964470253722,7
"US-Ced","Upland","Atlantic Coast","SPEI_48","10",3.5643483636233,0.63632382759423,6
"US-CGG","Upland","Pacific Coast","SPEI_1","2",8.038781776443,7.40675065829399,2
"US-CGG","Upland","Pacific Coast","SPEI_1","3",5.13015891873082,2.34062389320215,5
"US-CGG","Upland","Pacific Coast","SPEI_1","4",4.76687573364875,0.393017902066599,4
"US-CGG","Upland","Pacific Coast","SPEI_1","5",4.11462219759558,NA,1
"US-CGG","Upland","Pacific Coast","SPEI_3","2",10.7604537742914,2.22939512266791,3
"US-CGG","Upland","Pacific Coast","SPEI_3","3",6.24248178954627,4.16305205604075,2
"US-CGG","Upland","Pacific Coast","SPEI_3","5",4.11462219759558,NA,1
"US-CGG","Upland","Pacific Coast","SPEI_6","2",9.9755502136354,NA,1
"US-CGG","Upland","Pacific Coast","SPEI_6","3",4.44499200717158,0.663172549965796,2
"US-CGG","Upland","Pacific Coast","SPEI_6","4",5.10373279114029,0.00704722109250408,2
"US-CGG","Upland","Pacific Coast","SPEI_12","2",9.50260796469673,0.668841342668304,2
"US-CGG","Upland","Pacific Coast","SPEI_12","3",4.44499200717158,0.663172549965796,2
"US-CGG","Upland","Pacific Coast","SPEI_12","4",5.10373279114029,0.00704722109250408,2
"US-CGG","Upland","Pacific Coast","SPEI_24","2",8.36907642288135,5.26851604509911,3
"US-CGG","Upland","Pacific Coast","SPEI_24","3",7.05006497157723,3.02095696726815,2
"US-CGG","Upland","Pacific Coast","SPEI_24","4",5.09874965331726,NA,1
"US-CGG","Upland","Pacific Coast","SPEI_36","2",8.36907642288135,5.26851604509911,3
"US-CGG","Upland","Pacific Coast","SPEI_36","3",5.8686704175354,2.9580685887927,3
"US-CGG","Upland","Pacific Coast","SPEI_36","4",4.79875137654939,0.424261631693682,2
"US-CGG","Upland","Pacific Coast","SPEI_48","2",8.038781776443,7.40675065829399,2
"US-CGG","Upland","Pacific Coast","SPEI_48","3",5.8686704175354,2.9580685887927,3
"US-CGG","Upland","Pacific Coast","SPEI_48","4",4.79875137654939,0.424261631693682,2
"US-Cms","Upland","AK Coast","SPEI_1","6",0.987252579628055,0.822402614318499,3
"US-Cms","Upland","AK Coast","SPEI_1","7",3.06114313110498,1.70374447701576,4
"US-Cms","Upland","AK Coast","SPEI_1","8",4.13199945323558,1.08760865890604,6
"US-Cms","Upland","AK Coast","SPEI_3","6",0.940563717558813,0.743314336821842,4
"US-Cms","Upland","AK Coast","SPEI_3","7",2.74621374426453,1.40161175599646,7
"US-Cms","Upland","AK Coast","SPEI_3","8",4.13199945323558,1.08760865890604,6
"US-Cms","Upland","AK Coast","SPEI_6","6",0.795404496546701,0.773382260778305,4
"US-Cms","Upland","AK Coast","SPEI_6","7",2.73310914251798,1.67548757354967,5
"US-Cms","Upland","AK Coast","SPEI_6","8",4.13199945323558,1.08760865890604,6
"US-Cms","Upland","AK Coast","SPEI_12","6",1.2732581199234,1.59660847938881,5
"US-Cms","Upland","AK Coast","SPEI_12","7",2.73310914251798,1.67548757354967,5
"US-Cms","Upland","AK Coast","SPEI_12","8",4.3751796125864,1.017394377513,5
"US-Cms","Upland","AK Coast","SPEI_24","6",1.38352555907249,1.4533686242602,6
"US-Cms","Upland","AK Coast","SPEI_24","7",2.65295215800406,1.51140919022404,6
"US-Cms","Upland","AK Coast","SPEI_24","8",4.3751796125864,1.017394377513,5
"US-Cms","Upland","AK Coast","SPEI_36","6",1.38352555907249,1.4533686242602,6
"US-Cms","Upland","AK Coast","SPEI_36","7",2.65295215800406,1.51140919022404,6
"US-Cms","Upland","AK Coast","SPEI_36","8",4.13199945323558,1.08760865890604,6
"US-Cms","Upland","AK Coast","SPEI_48","6",1.38352555907249,1.4533686242602,6
"US-Cms","Upland","AK Coast","SPEI_48","7",2.74621374426453,1.40161175599646,7
"US-Cms","Upland","AK Coast","SPEI_48","8",4.13199945323558,1.08760865890604,6
"US-Dix","Upland","Atlantic Coast","SPEI_1","5",3.89319338133412,1.29428813255065,2
"US-Dix","Upland","Atlantic Coast","SPEI_1","6",3.62434930264907,1.09910607225297,3
"US-Dix","Upland","Atlantic Coast","SPEI_1","7",3.6966192845896,0.821725684804023,3
"US-Dix","Upland","Atlantic Coast","SPEI_1","8",4.35392901787857,NA,1
"US-Dix","Upland","Atlantic Coast","SPEI_3","5",2.99822930664635,0.0286178002905202,2
"US-Dix","Upland","Atlantic Coast","SPEI_3","6",4.18020616665553,0.749804772289523,2
"US-Dix","Upland","Atlantic Coast","SPEI_3","7",3.6966192845896,0.821725684804023,3
"US-Dix","Upland","Atlantic Coast","SPEI_3","8",4.41029529030435,0.0797139469249582,2
"US-Dix","Upland","Atlantic Coast","SPEI_3","9",3.90199611378694,0.153434003426632,2
"US-Dix","Upland","Atlantic Coast","SPEI_6","5",3.01846514729442,NA,1
"US-Dix","Upland","Atlantic Coast","SPEI_6","6",3.08132485111987,0.804248087579401,2
"US-Dix","Upland","Atlantic Coast","SPEI_6","7",3.33203653598651,0.743601182529585,2
"US-Dix","Upland","Atlantic Coast","SPEI_6","8",4.35392901787857,NA,1
"US-Dix","Upland","Atlantic Coast","SPEI_6","9",3.90199611378694,0.153434003426632,2
"US-Dix","Upland","Atlantic Coast","SPEI_12","5",2.99822930664635,0.0286178002905202,2
"US-Dix","Upland","Atlantic Coast","SPEI_12","6",3.62434930264907,1.09910607225297,3
"US-Dix","Upland","Atlantic Coast","SPEI_12","7",3.6966192845896,0.821725684804023,3
"US-Dix","Upland","Atlantic Coast","SPEI_12","8",4.41029529030435,0.0797139469249582,2
"US-Dix","Upland","Atlantic Coast","SPEI_12","9",3.90199611378694,0.153434003426632,2
"US-Dix","Upland","Atlantic Coast","SPEI_24","5",2.99822930664635,0.0286178002905202,2
"US-Dix","Upland","Atlantic Coast","SPEI_24","6",3.08132485111987,0.804248087579401,2
"US-Dix","Upland","Atlantic Coast","SPEI_24","7",3.33203653598651,0.743601182529585,2
"US-Dix","Upland","Atlantic Coast","SPEI_24","8",4.21452541776012,0.197146461931145,2
"US-Dix","Upland","Atlantic Coast","SPEI_24","9",3.79350188949937,NA,1
"US-Dix","Upland","Atlantic Coast","SPEI_36","5",3.60161730332089,1.04529455793066,3
"US-Dix","Upland","Atlantic Coast","SPEI_36","6",3.08132485111987,0.804248087579401,2
"US-Dix","Upland","Atlantic Coast","SPEI_36","7",3.6966192845896,0.821725684804023,3
"US-Dix","Upland","Atlantic Coast","SPEI_36","8",4.21452541776012,0.197146461931145,2
"US-Dix","Upland","Atlantic Coast","SPEI_36","9",4.93494068140352,NA,1
"US-Dix","Upland","Atlantic Coast","SPEI_48","5",3.91342922198219,1.26567033226013,2
"US-Dix","Upland","Atlantic Coast","SPEI_48","6",3.61151689017182,1.55405285986892,2
"US-Dix","Upland","Atlantic Coast","SPEI_48","7",4.14181337822364,0.401596210257823,2
"US-Dix","Upland","Atlantic Coast","SPEI_48","8",4.41029529030435,0.0797139469249582,2
"US-Dix","Upland","Atlantic Coast","SPEI_48","9",3.90199611378694,0.153434003426632,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_1","4",1.92155855716313,0.120357656741082,3
"US-Dmg","Freshwater","Pacific Coast","SPEI_1","5",2.20675564272475,0.154661504199561,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_1","6",2.55941964880206,0.084158566880679,3
"US-Dmg","Freshwater","Pacific Coast","SPEI_1","8",2.5790009603633,0.27011786003998,4
"US-Dmg","Freshwater","Pacific Coast","SPEI_1","9",2.81054830812938,0.299808341341335,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_1","10",3.22492795798773,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_3","4",1.99144757044338,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_3","5",2.25505363893901,0.137688705984089,3
"US-Dmg","Freshwater","Pacific Coast","SPEI_3","6",2.60244677712481,0.110123164410343,4
"US-Dmg","Freshwater","Pacific Coast","SPEI_3","7",2.68435626891135,0.146428542363378,3
"US-Dmg","Freshwater","Pacific Coast","SPEI_3","8",2.44219080337303,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_3","9",2.59855179691064,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_3","10",3.36509075308281,0.198220125763571,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_6","4",1.99064582405032,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_6","5",2.22452153784213,0.179786274022253,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_6","6",2.52178154952446,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_6","7",2.61182040365785,0.106366938232191,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_6","8",2.48191106224526,0.229971297273041,3
"US-Dmg","Freshwater","Pacific Coast","SPEI_6","9",2.82320022313388,0.213126097953217,3
"US-Dmg","Freshwater","Pacific Coast","SPEI_6","10",3.06309043522893,0.228872819586367,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_12","4",1.99104669724685,0.000566920311322437,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_12","5",2.22452153784213,0.179786274022253,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_12","6",2.58880508013513,0.0947855859877373,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_12","7",2.82942799941833,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_12","8",2.35828895366992,0.118655133758333,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_12","9",2.59855179691064,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_12","10",3.36509075308281,0.198220125763571,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_24","4",1.99064582405032,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_24","5",2.35164963136753,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_24","6",2.65582861074579,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_24","7",2.82942799941833,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_24","8",2.44219080337303,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_24","9",2.59855179691064,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_24","10",3.22492795798773,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_36","4",1.99064582405032,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_36","5",2.28292806680743,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_36","6",2.73152816209304,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_36","7",2.71161327847226,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_36","8",2.8702706547174,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_36","9",3.13168907585224,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_48","4",1.99064582405032,NA,1
"US-Dmg","Freshwater","Pacific Coast","SPEI_48","5",2.31728884908748,0.0485934843141893,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_48","6",2.69367838641942,0.0535276660904165,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_48","7",2.77052063894529,0.0833075881045675,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_48","8",2.65623072904522,0.30269816577493,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_48","9",2.86512043638144,0.376984985242949,2
"US-Dmg","Freshwater","Pacific Coast","SPEI_48","10",3.22492795798773,NA,1
"US-EDN","Saline","Pacific Coast","SPEI_1","3",1.7715284414895,0.86806498073416,5
"US-EDN","Saline","Pacific Coast","SPEI_1","4",2.04748993995772,0.455757934576798,5
"US-EDN","Saline","Pacific Coast","SPEI_1","5",2.53245675860025,0.542027692757491,4
"US-EDN","Saline","Pacific Coast","SPEI_1","6",2.7225563534296,1.30213176693926,3
"US-EDN","Saline","Pacific Coast","SPEI_1","7",3.20799054991728,1.05045990848982,4
"US-EDN","Saline","Pacific Coast","SPEI_1","8",2.49021939931508,0.442571328254418,2
"US-EDN","Saline","Pacific Coast","SPEI_1","9",2.83403005915405,0.682468928548898,3
"US-EDN","Saline","Pacific Coast","SPEI_3","3",1.80870429550779,1.21373405767636,3
"US-EDN","Saline","Pacific Coast","SPEI_3","4",1.85847760504916,0.835733056042533,2
"US-EDN","Saline","Pacific Coast","SPEI_3","5",2.28865215173642,0.467715379051122,4
"US-EDN","Saline","Pacific Coast","SPEI_3","6",2.78589083239632,1.09253689047739,5
