"site_name","water_class","coast_region","SPEI_timescale","n_months","baseline_WUE_T","mean_abs_pct_change","max_abs_pct_change","pct_months_decrease_10","pct_months_increase_10","pct_months_impacted_10","dry_threshold_observed","wet_threshold_observed"
"US-TaS","Saline","Atlantic Coast","SPEI_6",12,3.35037626306405,18.7731316355001,60.0446593102329,33.3333333333333,41.6666666666667,75,-2.19887689079141,NA
"US-Skr","Saline","Atlantic Coast","SPEI_6",95,2.90576538673186,18.7174279846723,80.14689057193,31.578947368421,26.3157894736842,57.8947368421053,-1.09265970128064,1.23065683156509
"US-MRf","Upland","Pacific Coast","SPEI_6",37,9.93766761669805,18.2631899141198,49.1677908822476,37.8378378378378,29.7297297297297,67.5675675675676,-1.03168996253643,1.09218121742414
"US-GCE","Saline","Atlantic Coast","SPEI_6",19,1.2969657149168,16.5888527882402,61.8010084075229,31.578947368421,26.3157894736842,57.8947368421053,-1.15378228177599,NA
"US-Snd","Upland","Pacific Coast","SPEI_6",55,3.5167671667877,16.3865600856663,46.6151313439119,32.7272727272727,23.6363636363636,56.3636363636364,-1.16051358016431,NA
"US-HB2","Upland","Atlantic Coast","SPEI_6",48,4.43812997066254,15.7125827086593,54.1038007786472,31.25,31.25,62.5,-1.07178423783268,1.69170416212202
"US-HB1","Saline","Atlantic Coast","SPEI_6",47,1.48496335032394,15.6878280592073,52.1571238249134,31.9148936170213,21.2765957446809,53.1914893617021,NA,1.07924051490659
"US-Tw4","Freshwater","Pacific Coast","SPEI_6",50,2.57016014845141,15.5748820175213,66.5481834935298,20,32,52,NA,1.06563524789692
"US-RRC","Freshwater","Atlantic Coast","SPEI_6",16,2.05642654160222,13.5718320928643,24.8300903187361,31.25,31.25,62.5,NA,NA
"US-Myb","Freshwater","Pacific Coast","SPEI_6",82,2.66053611579914,12.7009790716796,36.032802430981,19.5121951219512,31.7073170731707,51.219512195122,-1.24223178267718,1.11325558759417
"US-ONA","Upland","Atlantic Coast","SPEI_6",43,5.02312035725413,12.6521302369176,41.192219619811,30.2325581395349,20.9302325581395,51.1627906976744,-1.11867000339441,NA
"US-StJ","Saline","Atlantic Coast","SPEI_6",30,6.98543755621978,12.3745737126629,38.164820711509,20,30,50,NA,NA
"US-MCP","Freshwater","Pacific Coast","SPEI_6",3,9.11762084067655,11.7210154729971,17.5815232094956,33.3333333333333,0,33.3333333333333,NA,NA
"US-PHM","Saline","Atlantic Coast","SPEI_6",33,2.59992473015607,11.4500457243704,40.1561787635577,27.2727272727273,15.1515151515152,42.4242424242424,-1.41781971891499,1.03916325181833
"US-Ced","Upland","Atlantic Coast","SPEI_6",59,2.98501663396338,11.2274559460888,34.4039326787233,30.5084745762712,16.9491525423729,47.4576271186441,-1.06445656037808,1.06379644101015
"US-Tw1","Freshwater","Pacific Coast","SPEI_6",52,3.2202470373563,10.3890127774048,42.7960983952138,19.2307692307692,25,44.2307692307692,-1.25171162754668,1.45651198830462
"US-Tw3","Freshwater","Pacific Coast","SPEI_6",14,3.92645852300413,10.2018794697624,35.1479119990636,35.7142857142857,21.4285714285714,57.1428571428571,-1.40446504533645,1.09527219413559
"US-HB3","Upland","Atlantic Coast","SPEI_6",40,4.38996565814316,8.06946740135113,31.6780724720636,12.5,12.5,25,-1.07178423783268,NA
"US-Dmg","Freshwater","Pacific Coast","SPEI_6",8,2.48191106224526,7.801584122456,15.6476031063259,0,25,25,NA,NA
"US-Atq","Freshwater","AK Coast","SPEI_12",26,1.06940827636576,70.4564110890365,137.517379869147,69.2307692307692,30.7692307692308,100,NA,1.32139039503726
