"site_name","water_class","coast_region","SPEI_timescale","n_months","SPEI_slope","SPEI_cor","mean_WUE_T"
"US-KS4","Saline","Atlantic Coast","SPEI_48",33,-2.66961784671397,-0.311784771448571,8.02057474683842
"US-LA2","Freshwater","Atlantic Coast","SPEI_1",37,0.177495247794906,0.136005800607162,4.35566104562658
"US-LA2","Freshwater","Atlantic Coast","SPEI_3",37,0.00603043710662751,0.00590027092635264,4.35566104562658
"US-LA2","Freshwater","Atlantic Coast","SPEI_6",37,-0.102118066370146,-0.0871305009056136,4.35566104562658
"US-LA2","Freshwater","Atlantic Coast","SPEI_12",37,-0.236022397763461,-0.177005921684892,4.35566104562658
"US-LA2","Freshwater","Atlantic Coast","SPEI_24",37,-0.40687239444737,-0.299765571334819,4.35566104562658
"US-LA2","Freshwater","Atlantic Coast","SPEI_36",37,-1.20797986181429,-0.64151237545776,4.35566104562658
"US-LA2","Freshwater","Atlantic Coast","SPEI_48",37,-1.10887290594233,-0.467662115759364,4.35566104562658
"US-LA3","Saline","Atlantic Coast","SPEI_1",25,-0.00826523455920763,-0.0116722333448957,4.53219078949272
"US-LA3","Saline","Atlantic Coast","SPEI_3",25,0.0015981406202434,0.00322441008651602,4.53219078949272
"US-LA3","Saline","Atlantic Coast","SPEI_6",25,0.101118586052853,0.17396992982986,4.53219078949272
"US-LA3","Saline","Atlantic Coast","SPEI_12",25,-0.138258629104523,-0.198046271330164,4.53219078949272
"US-LA3","Saline","Atlantic Coast","SPEI_24",25,-0.0371237012999336,-0.0476694099549448,4.53219078949272
"US-LA3","Saline","Atlantic Coast","SPEI_36",25,0.0768029408350377,0.0525728180402707,4.53219078949272
"US-LA3","Saline","Atlantic Coast","SPEI_48",25,-0.00783965556706056,-0.00768601035423393,4.53219078949272
"US-MCP","Freshwater","Pacific Coast","SPEI_1",18,-1.21336316958327,-0.646496505933834,7.56121832156638
"US-MCP","Freshwater","Pacific Coast","SPEI_3",18,0.00321506003821632,0.00155568328632564,7.56121832156638
"US-MCP","Freshwater","Pacific Coast","SPEI_6",18,-0.224145559944736,-0.0888179064014556,7.56121832156638
"US-MCP","Freshwater","Pacific Coast","SPEI_12",18,-0.345776787322931,-0.17869737495617,7.56121832156638
"US-MCP","Freshwater","Pacific Coast","SPEI_24",18,-0.339997718907224,-0.142116911640275,7.56121832156638
"US-MCP","Freshwater","Pacific Coast","SPEI_36",18,0.673274213682493,0.174742772475189,7.56121832156638
"US-MCP","Freshwater","Pacific Coast","SPEI_48",18,0.772842624081848,0.18358267152246,7.56121832156638
"US-MRf","Upland","Pacific Coast","SPEI_1",41,0.517488581410009,0.164181069858495,9.10641780045259
"US-MRf","Upland","Pacific Coast","SPEI_3",41,0.415098392845256,0.138630155631583,9.10641780045259
"US-MRf","Upland","Pacific Coast","SPEI_6",41,0.0146083503477602,0.00448301286251487,9.10641780045259
"US-MRf","Upland","Pacific Coast","SPEI_12",41,-0.220262797212442,-0.0572910189275444,9.10641780045259
"US-MRf","Upland","Pacific Coast","SPEI_24",41,-0.721844958602632,-0.15741646934203,9.10641780045259
"US-MRf","Upland","Pacific Coast","SPEI_36",41,0.149180345448499,0.0254550108494257,9.10641780045259
"US-MRf","Upland","Pacific Coast","SPEI_48",41,-2.62723869163879,-0.316317795382541,9.10641780045259
"US-Myb","Freshwater","Pacific Coast","SPEI_1",82,0.0308713055321395,0.0801434872966496,2.62381031840463
"US-Myb","Freshwater","Pacific Coast","SPEI_3",82,-0.022590580934229,-0.0621241268942101,2.62381031840463
"US-Myb","Freshwater","Pacific Coast","SPEI_6",82,0.00609571238424847,0.0177899780240643,2.62381031840463
"US-Myb","Freshwater","Pacific Coast","SPEI_12",82,0.0189625392568616,0.0755112473224502,2.62381031840463
"US-Myb","Freshwater","Pacific Coast","SPEI_24",82,0.0614641424090522,0.21734052844607,2.62381031840463
"US-Myb","Freshwater","Pacific Coast","SPEI_36",82,0.114724924071022,0.359952710144517,2.62381031840463
"US-Myb","Freshwater","Pacific Coast","SPEI_48",82,0.167940784708278,0.468141384044406,2.62381031840463
"US-NC4","Freshwater","Atlantic Coast","SPEI_1",78,0.0296273262534032,0.04038686113204,2.74379813144951
"US-NC4","Freshwater","Atlantic Coast","SPEI_3",78,-0.0014899267588742,-0.00179573365782383,2.74379813144951
"US-NC4","Freshwater","Atlantic Coast","SPEI_6",78,-0.0159843537563878,-0.0206900246343271,2.74379813144951
"US-NC4","Freshwater","Atlantic Coast","SPEI_12",78,-0.144208055026132,-0.18658293095546,2.74379813144951
