"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","WUE_difference","smooth_fitted","smooth_residual"
"US-Ced",2014,10,"Upland","WUE_ET_minus_WUE_T",0.744925469482062,1.08072216612884,-0.865897858115476,-0.935702511809614,0.0698046536941379
"US-CGG",2020,3,"Upland","WUE_ET_minus_WUE_T",0.544169398950239,-0.0637304413255533,-1.81240899911209,-2.23031829871193,0.417909299599835
"US-CGG",2020,4,"Upland","WUE_ET_minus_WUE_T",0.466127108981759,-0.508627086341229,-2.72740494238659,-2.86882011709793,0.141415174711345
"US-CGG",2021,2,"Upland","WUE_ET_minus_WUE_T",0.151304207544846,-2.30334188366399,-11.2674087354699,-9.73430894192838,-1.53309979354149
"US-CGG",2021,3,"Upland","WUE_ET_minus_WUE_T",0.299536446646414,-1.45831252988561,-6.43460118589434,-4.83524780012089,-1.59935338577345
"US-CGG",2022,3,"Upland","WUE_ET_minus_WUE_T",0.557585119592976,0.0127487228152195,-2.17399390148428,-2.10178899877976,-0.0722049027045175
"US-CGG",2022,4,"Upland","WUE_ET_minus_WUE_T",0.530297535846461,-0.142809942420151,-2.39489527626512,-2.33459860512093,-0.0602966711441852
"US-CGG",2023,2,"Upland","WUE_ET_minus_WUE_T",0.509978639264915,-0.258642126780729,-1.37275473845981,-2.45987239627732,1.08711765781751
"US-CGG",2024,3,"Upland","WUE_ET_minus_WUE_T",0.590382233950553,0.199715637160953,-1.7514628961987,-1.79069254855457,0.0392296523558737
"US-CGG",2024,4,"Upland","WUE_ET_minus_WUE_T",0.656379681489469,0.575948100374433,-1.49862588397032,-1.24366220027683,-0.254963683693492
"US-CGG",2024,5,"Upland","WUE_ET_minus_WUE_T",0.502317802758648,-0.302314351942602,-2.04777421611741,-2.66238700328018,0.614612787162768
"US-CGG",2025,3,"Upland","WUE_ET_minus_WUE_T",0.713867608499326,0.903670234949439,-0.94388193049614,-0.967535611702948,0.0236536812068082
"US-Cms",1999,7,"Upland","WUE_ET_minus_WUE_T",0.724958925901673,0.966898644867973,-0.72311601776611,-0.674366511998997,-0.0487495057671132
"US-Cms",1999,8,"Upland","WUE_ET_minus_WUE_T",0.544979806826913,-0.0591105391472299,-2.4600874751263,-2.25979803070853,-0.200289444417776
"US-Cms",2000,8,"Upland","WUE_ET_minus_WUE_T",0.533395569260495,-0.125148945124881,-2.27240900233408,-2.36910780409313,0.096698801759048
"US-Cms",2001,6,"Upland","WUE_ET_minus_WUE_T",0.631237625162998,0.432620469765954,-0.209103429995443,-1.03773066929552,0.828627239300074
"US-Cms",2001,7,"Upland","WUE_ET_minus_WUE_T",0.68677198064929,0.749205855060747,-0.563146904007205,-0.850546481734207,0.287399577727002
"US-Cms",2001,8,"Upland","WUE_ET_minus_WUE_T",0.683939813185782,0.733060483068896,-0.903523297107073,-1.14779892799571,0.244275630888636
"US-Cms",2002,6,"Upland","WUE_ET_minus_WUE_T",0.645744668639857,0.515320951447848,-0.162905683036189,-0.932814413083591,0.769908730047402
"US-Cms",2003,7,"Upland","WUE_ET_minus_WUE_T",0.615727894851515,0.344203958878539,-2.13862933700415,-1.32294152002519,-0.815687816978963
"US-Cms",2003,8,"Upland","WUE_ET_minus_WUE_T",0.624083671386951,0.39183783723626,-1.8367309469403,-1.5377867413216,-0.298944205618701
"US-Cms",2004,6,"Upland","WUE_ET_minus_WUE_T",0.645567495764351,0.514310939851155,-0.685778251542425,-0.934034059225612,0.248255807683188
"US-Cms",2004,8,"Upland","WUE_ET_minus_WUE_T",0.531347638277852,-0.136823610537305,-1.36663652237483,-2.3881665037922,1.02152998141738
"US-Cms",2005,7,"Upland","WUE_ET_minus_WUE_T",0.76303070916055,1.18393492927838,-0.533694472632748,-0.521031469638335,-0.0126630029944133
"US-Cms",2005,8,"Upland","WUE_ET_minus_WUE_T",0.727701085655767,0.982530908800591,-1.0495866552003,-0.945431588391613,-0.104155066808684
"US-Dix",2005,5,"Upland","WUE_ET_minus_WUE_T",0.731997633748548,1.00702429350777,-0.798109295568902,-0.967168390974955,0.169059095406053
"US-Dix",2005,6,"Upland","WUE_ET_minus_WUE_T",0.723712852713046,0.959795140072201,-1.00845199087267,-0.755127129457185,-0.253324861415486
"US-Dix",2005,7,"Upland","WUE_ET_minus_WUE_T",0.789629863037022,1.33556905386234,-0.590347220293291,-0.655145725510138,0.0647985052168465
"US-Dix",2006,5,"Upland","WUE_ET_minus_WUE_T",0.575884533466549,0.117068417193668,-2.0393139662935,-2.00317071603052,-0.0361432502629806
"US-Dix",2006,6,"Upland","WUE_ET_minus_WUE_T",0.562749733542488,0.0421907012587948,-2.05962287056659,-1.88221946642707,-0.177403404139515
"US-Dix",2006,7,"Upland","WUE_ET_minus_WUE_T",0.641464035211247,0.490918291663004,-1.58680301668853,-1.3622496372574,-0.224553379431126
"US-Dix",2007,7,"Upland","WUE_ET_minus_WUE_T",0.573462218077997,0.103259493980729,-1.64551535887346,-1.94158550074763,0.296070141874171
"US-Dix",2007,8,"Upland","WUE_ET_minus_WUE_T",0.692642842891556,0.782673951857863,-1.33821124518711,-1.34107415252277,0.0028629073356552
"US-Dmg",2022,4,"Freshwater","WUE_ET_minus_WUE_T",0.553414016775882,-0.0110295344615717,-0.888994522584497,-1.22957258289417,0.340578060309677
"US-Dmg",2022,6,"Freshwater","WUE_ET_minus_WUE_T",0.623161151432975,0.386578816356041,-1.00081939566481,-0.716090603961175,-0.284728791703634
"US-Dmg",2022,8,"Freshwater","WUE_ET_minus_WUE_T",0.630628459406826,0.429147791026145,-0.90207577946438,-1.1246878814998,0.222612102035424
"US-Dmg",2022,9,"Freshwater","WUE_ET_minus_WUE_T",0.524992152832371,-0.173054404806445,-1.23433249480409,-1.4779463483487,0.24361385354461
"US-Dmg",2022,10,"Freshwater","WUE_ET_minus_WUE_T",0.511883715497916,-0.247781835201593,-1.57413985263987,-1.63031135974204,0.0561715071021762
"US-Dmg",2023,8,"Freshwater","WUE_ET_minus_WUE_T",0.641703824221476,0.492285259831233,-1.02840699903457,-1.07163420220642,0.0432272031718499
"US-Dmg",2024,4,"Freshwater","WUE_ET_minus_WUE_T",0.58659721815811,0.17813835094768,-0.736924472172066,-1.06235254103107,0.325428068859002
"US-Dmg",2024,5,"Freshwater","WUE_ET_minus_WUE_T",0.643887249156832,0.504732337291108,-0.824799095682731,-0.863282294515807,0.0384831988330763
"US-Dmg",2024,6,"Freshwater","WUE_ET_minus_WUE_T",0.627336796410169,0.410382967180942,-0.931899787694441,-0.695933618817696,-0.235966168876745
"US-Dmg",2024,8,"Freshwater","WUE_ET_minus_WUE_T",0.583584048763496,0.160961139014645,-1.13646379174179,-1.3548362912923,0.218372499550512
"US-Dmg",2024,9,"Freshwater","WUE_ET_minus_WUE_T",0.509784689878995,-0.259747776437262,-1.48169774597138,-1.55868995369323,0.0769922077218435
"US-Dmg",2025,4,"Freshwater","WUE_ET_minus_WUE_T",0.574663671393414,0.110108633714942,-0.847034998224891,-1.12193416738161,0.274899169156722
"US-Dmg",2025,5,"Freshwater","WUE_ET_minus_WUE_T",0.6333637471573,0.444740879642972,-0.768980473161129,-0.913605124590801,0.144624651429673
"US-Dmg",2025,6,"Freshwater","WUE_ET_minus_WUE_T",0.657533817666579,0.582527498714676,-0.8636248999445,-0.551920536640546,-0.311704363303954
"US-Dmg",2025,8,"Freshwater","WUE_ET_minus_WUE_T",0.627395615116888,0.410718275707817,-0.847446607859635,-1.14025223011411,0.292805622254472
"US-EDN",2018,4,"Saline","WUE_ET_minus_WUE_T",0.365589157562322,-1.08176502605728,-0.804131662606451,-1.81340595007211,1.00927428746565
"US-EDN",2018,5,"Saline","WUE_ET_minus_WUE_T",0.36771591463042,-1.06964099580724,-1.2579913792371,-1.86898270064169,0.610991321404584
"US-EDN",2018,6,"Saline","WUE_ET_minus_WUE_T",0.377491619337831,-1.01391251540581,-1.01529921493746,-1.51517697222492,0.49987775728746
"US-EDN",2018,8,"Saline","WUE_ET_minus_WUE_T",0.451888479423485,-0.589797417486765,-1.19338907902266,-1.28487292884544,0.0914838498227835
